timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,16.5114942529,19.0,20
1,2770.32051834,790.76,636.694201889,100.0,0,13,13.0,16.4568965517,19.0,20
2,3460.59796372,982.246,894.612349836,100.0,0,13,13.0,16.4675675676,20.0,20
3,4398.79904496,1420.053,615.519332874,100.0,0,13,13.0,16.303030303,19.9,20
4,5076.27424056,1597.176,551.842235916,100.0,0,13,13.0,16.247761194,19.0,20
5,5190.31851491,1599.089,484.28315737,100.0,0,13,13.0,16.3794117647,19.0,20
6,5324.88343683,1622.763,470.662502839,100.0,0,13,13.0,16.4069400631,19.0,20
7,4836.44769733,1553.53,468.048532138,100.0,0,13,13.0,16.2271386431,19.0,20
8,4942.10536159,1594.687,484.364794468,100.0,0,13,13.0,16.2176656151,20.0,20
9,5019.43852091,1563.51,443.801457784,100.0,0,13,13.0,16.2238372093,19.0,20
10,5676.52706814,1856.106,517.074038177,100.0,0,13,13.0,16.5346260388,20.0,20
11,6992.0841361,2132.713,208.592033104,100.0,0,13,13.0,16.1988304094,19.0,20
12,6868.95834399,2057.047,176.909264199,100.0,144,13,13.0,16.4673202614,19.75,20
13,4810.74805937,1340.345,585.278882349,100.0,116,13,13.0,16.2662889518,20.0,20
14,3912.35181159,1121.337,888.542120118,100.0,106,13,13.0,16.245014245,20.0,20
15,3524.63848507,1038.271,1095.81998325,100.0,0,13,13.0,16.0903614458,19.0,20
16,2814.08350225,892.938,1000.67930908,100.0,0,13,13.0,16.1483679525,19.0,20
17,2880.83318693,897.791,997.856582826,100.0,0,13,13.0,16.3439306358,20.0,20
18,3042.65761672,914.6,1065.83917268,100.0,0,13,13.0,16.2039660057,19.0,20
19,3001.29505892,963.776,1066.4306667,100.0,0,13,13.0,16.4088235294,20.0,20
20,3085.11181223,978.305,1090.83830661,100.0,0,13,13.0,16.4164305949,19.4,20
21,3299.68819238,988.962,1165.40180463,100.0,0,13,13.0,16.4811827957,20.0,20
22,3351.03365394,1026.299,1123.84430069,100.0,0,13,13.0,16.2551546392,19.0,20
23,3414.49247329,1071.235,1241.72664822,100.0,0,13,13.0,16.4285714286,19.0,20
24,3137.36415429,992.679,1135.35112992,100.0,0,0.0,0.0,0.0,0.0,0.0
25,1178.94333212,356.739,461.446447465,100.0,0,0.0,0.0,0.0,0.0,0.0
26,406.056846598,120.897,136.893498174,100.0,0,0.0,0.0,0.0,0.0,0.0
27,124.844390699,41.206,32.520855036,100.0,0,0.0,0.0,0.0,0.0,0.0
28,50.6290085754,15.903,15.5288497081,100.0,0,0.0,0.0,0.0,0.0,0.0
29,8.41541146319,2.329,4.06391969675,100.0,0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
