timeslot,sfc_id,vnf_count,server_count,co_count,path_stretch
0,0,4,2,2,21
0,1,5,2,2,23
0,2,6,1,1,19
0,3,6,1,1,19
0,4,6,1,1,19
0,5,5,1,1,17
0,6,3,1,1,13
0,7,6,2,2,25
0,8,5,2,2,23
0,9,6,1,1,20
0,10,3,2,2,19
0,11,3,2,2,19
0,12,3,2,2,19
0,13,4,1,1,15
0,14,6,1,1,19
0,15,4,1,1,15
0,16,4,1,1,15
0,17,6,1,1,19
0,18,3,2,2,19
0,19,6,1,1,19
0,20,3,2,2,19
0,21,4,2,2,21
0,22,5,1,1,17
0,23,6,1,1,19
0,24,6,1,1,20
0,25,5,1,1,17
0,26,6,1,1,19
0,27,6,1,1,19
0,28,3,1,1,13
0,29,3,1,1,13
0,30,6,1,1,19
0,31,6,1,1,19
0,32,6,2,2,25
0,33,6,1,1,19
0,34,4,1,1,15
0,35,4,2,2,21
0,36,6,1,1,20
0,37,5,1,1,18
0,38,3,2,2,19
0,39,5,1,1,17
0,40,3,1,1,13
0,41,6,2,2,25
0,42,6,1,1,19
0,43,4,2,2,21
0,44,6,1,1,19
0,45,4,1,1,15
0,46,6,1,1,19
0,47,3,1,1,13
0,48,6,1,1,20
0,49,3,2,2,19
0,50,5,1,1,17
0,51,4,1,1,16
0,52,3,1,1,13
0,53,3,1,1,13
0,54,4,1,1,15
0,55,6,2,2,25
0,56,5,1,1,17
0,57,4,1,1,16
0,58,6,1,1,19
0,59,6,2,2,25
0,60,5,1,1,17
0,61,6,1,1,19
0,62,4,2,2,21
0,63,5,1,1,17
0,64,6,1,1,19
0,65,4,1,1,15
0,66,4,1,1,15
0,67,3,1,1,13
0,68,4,1,1,15
0,69,3,1,1,13
0,70,4,1,1,15
0,71,4,1,1,15
0,72,3,1,1,13
0,73,6,1,1,19
0,74,5,1,1,17
0,75,6,1,1,19
0,76,6,1,1,20
0,77,4,1,1,15
0,78,6,1,1,19
0,79,5,1,1,17
0,80,4,2,2,21
0,81,6,1,1,19
0,82,4,1,1,15
0,83,6,1,1,20
0,84,5,1,1,18
0,85,5,1,1,17
0,86,5,1,1,17
0,87,4,2,2,21
0,88,6,2,2,25
0,89,4,1,1,15
0,90,5,1,1,17
0,91,3,1,1,13
0,92,5,2,2,23
0,93,4,1,1,15
0,94,3,1,1,13
0,95,5,1,1,17
0,96,5,1,1,17
0,97,6,1,1,19
0,98,3,1,1,13
0,99,4,1,1,15
0,100,4,1,1,15
0,101,6,2,2,25
0,102,3,1,1,13
0,103,6,1,1,19
0,104,4,1,1,15
0,105,3,1,1,13
0,106,3,1,1,13
0,107,3,1,1,14
0,108,6,1,1,19
0,109,6,1,1,20
0,110,5,2,2,23
0,111,6,2,2,25
0,112,3,1,1,13
0,113,6,1,1,19
0,114,5,1,1,17
0,115,5,1,1,17
0,116,3,1,1,13
0,117,6,2,2,25
0,118,6,1,1,19
0,119,6,1,1,20
0,120,6,1,1,19
0,121,4,1,1,15
0,122,3,1,1,13
0,123,3,2,2,19
0,124,3,1,1,13
0,125,3,2,2,19
0,126,6,2,2,25
0,127,3,1,1,13
0,128,6,1,1,19
0,129,5,1,1,17
0,130,4,2,2,21
0,131,3,1,1,13
