timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,17.2307692308,21.0,21
1,265.112,231.022,88.077,100.0,0,13,13.4,17.4347826087,21.0,21
2,334.513,291.244,118.505,100.0,0,13,13.0,17.5333333333,21.0,21
3,354.37,323.727,74.487,100.0,0,13,14.0,17.4590163934,21.0,21
4,387.304,354.522,51.885,100.0,0,13,13.0,16.7945205479,21.0,21
5,381.876,351.567,38.412,100.0,0,13,14.0,17.3289473684,21.0,21
6,488.064,452.624,47.038,100.0,0,13,15.0,18.3246753247,21.0,21
7,467.454,437.615,43.195,100.0,0,13,15.0,17.2857142857,20.0,21
8,370.901,348.342,35.576,100.0,0,13,13.0,16.9125,21.0,21
9,451.231,421.434,44.725,100.0,0,13,13.4,17.5538461538,21.0,21
10,414.701,387.757,40.569,100.0,0,13,14.15,17.1875,21.0,21
11,442.054,401.667,19.958,100.0,0,13,14.0,17.2307692308,21.0,21
12,468.475,430.666,32.559,100.0,18,13,14.0,16.9848484848,21.0,21
13,369.608,326.135,89.69,100.0,1,13,15.0,17.4805194805,21.0,21
14,341.813,305.907,146.607,100.0,0,13,14.0,17.0563380282,21.0,21
15,345.068,310.641,141.219,100.0,0,13,14.0,17.4375,21.0,21
16,250.448,226.197,134.724,100.0,0,13,13.0,17.141025641,21.0,21
17,365.573,330.941,183.882,100.0,0,13,14.05,16.9838709677,21.0,21
18,271.256,247.211,133.74,100.0,0,13,14.2,17.2705882353,21.0,21
19,328.305,296.743,178.138,100.0,0,13,14.0,17.6625,21.0,21
20,343.821,311.572,180.483,100.0,0,13,14.0,17.2368421053,21.0,21
21,311.146,280.985,143.335,100.0,0,13,14.0,17.3538461538,21.0,21
22,306.359,276.794,158.405,100.0,0,13,13.05,17.0967741935,21.0,21
23,325.389,294.292,170.828,100.0,0,13,15.0,17.5,21.0,21
24,367.36,332.423,211.549,100.0,0,0.0,0.0,0.0,0.0,0.0
25,158.955,144.09,88.372,100.0,0,0.0,0.0,0.0,0.0,0.0
26,60.229,54.571,29.562,100.0,0,0.0,0.0,0.0,0.0,0.0
27,18.833,16.969,9.184,100.0,0,0.0,0.0,0.0,0.0,0.0
28,5.818,5.375,1.66,100.0,0,0.0,0.0,0.0,0.0,0.0
29,5.818,5.375,1.66,100.0,0,0.0,0.0,0.0,0.0,0.0
30,5.818,5.375,1.66,100.0,0,0.0,0.0,0.0,0.0,0.0
31,-0.0,-0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
