timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,14.25,19.3846153846,23.75,25
1,203.721120291,67.201,94.2331382569,100.0,0,13,13.0,19.2903225806,23.5,25
2,245.192390213,78.021,97.9263679239,100.0,0,13,13.0,20.6666666667,25.25,26
3,487.850448978,171.232,95.6094739306,100.0,0,13,13.65,19.8235294118,25.35,26
4,549.636179567,190.241,94.2761421419,100.0,0,13,14.0,19.2142857143,25.0,26
5,467.037961193,155.596,62.2174715865,100.0,0,13,13.0,20.7878787879,26.0,26
6,550.230584506,188.684,76.9898939857,100.0,0,13,15.0,21.1470588235,26.0,26
7,451.69795293,157.144,60.1211717082,100.0,0,14,14.05,20.0952380952,25.0,26
8,638.244129614,209.69,92.3840403585,100.0,0,13,14.65,20.3529411765,26.0,26
9,523.779510889,184.524,85.79977082,100.0,0,13,15.0,20.6097560976,25.0,26
10,605.842375088,210.016,92.4443792726,100.0,0,13,13.0,16.3823529412,20.0,20
11,594.191546309,202.516,37.480428433,100.0,0,13,13.0,16.8214285714,20.0,20
12,573.3944394,199.401,32.9662439563,100.0,11,13,13.0,18.9047619048,25.95,26
13,503.52583715,162.469,168.408299596,100.0,3,13,13.0,20.2790697674,25.0,25
14,587.571426591,185.413,244.716855939,100.0,0,13,13.55,19.5625,25.0,25
15,473.097138475,153.139,237.171006948,100.0,0,13,14.9,19.3333333333,25.0,25
16,456.740889928,148.507,238.61964783,100.0,0,13,13.6,19.3703703704,25.0,25
17,408.00474675,132.208,196.217338591,100.0,0,13,14.0,20.1176470588,25.0,25
18,387.494358166,126.328,190.791822954,100.0,0,14,14.75,19.75,25.0,25
19,378.231803496,122.119,178.640349306,100.0,0,13,15.0,20.0,25.0,25
20,368.950593905,117.949,188.501461219,100.0,0,13,13.0,19.5588235294,25.0,25
21,401.091576426,128.13,194.171847765,100.0,0,13,13.55,20.9375,25.0,25
22,412.215309401,137.718,200.384852041,100.0,0,13,14.0,20.2105263158,25.0,25
23,326.872132613,108.662,165.749018668,100.0,0,13,15.3,20.0,25.0,25
24,313.581816214,106.455,191.855170735,100.0,0,0.0,0.0,0.0,0.0,0.0
25,70.4692667878,22.448,47.1752923273,100.0,0,0.0,0.0,0.0,0.0,0.0
26,28.0790495063,8.427,9.81377336965,100.0,0,0.0,0.0,0.0,0.0,0.0
27,0.0,-0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
