timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,16.1516853933,19.0,20
1,553.081,514.919,199.465,100.0,0,13,13.0,16.245398773,20.0,20
2,581.081,536.549,225.645,100.0,0,13,13.0,16.1851851852,19.0,20
3,762.239,733.391,138.623,100.0,0,13,13.0,16.1783783784,20.0,20
4,917.473,893.418,110.819,100.0,0,13,13.0,16.5683060109,19.0,20
5,1063.71,1039.972,112.81,100.0,0,13,13.0,16.256281407,19.0,20
6,1139.612,1110.458,106.433,100.0,0,13,13.0,16.6536312849,20.0,20
7,1064.754,1042.621,97.468,100.0,0,13,13.0,16.1944444444,19.0,20
8,956.798,935.447,87.352,100.0,0,13,13.0,16.4350649351,20.0,20
9,888.197,871.959,80.373,100.0,0,13,13.0,15.9585798817,19.0,20
10,976.407,957.559,88.972,100.0,0,13,13.0,15.967032967,19.0,20
11,1051.218,997.408,29.653,100.0,0,13,13.0,16.1918604651,19.0,20
12,996.505,965.063,61.939,100.0,44,13,13.0,16.2443181818,19.25,20
13,806.695,744.79,295.034,100.0,5,13,13.0,16.3136094675,19.0,20
14,711.421,674.554,371.978,100.0,0,13,13.0,16.595505618,20.0,20
15,643.003,617.167,394.903,100.0,0,13,13.0,16.3172043011,19.0,20
16,771.872,749.065,424.998,100.0,0,13,13.0,16.1,19.55,20
17,706.964,687.811,406.317,100.0,0,13,13.0,16.3922651934,20.0,20
18,731.604,713.38,393.337,100.0,0,13,13.0,16.4240506329,20.0,20
19,608.635,590.522,344.686,100.0,0,13,13.0,16.1965317919,19.0,20
20,709.957,691.02,373.531,100.0,0,13,13.0,16.4166666667,20.0,20
21,716.425,691.511,428.591,100.0,0,13,13.0,16.2641509434,20.0,20
22,665.807,642.137,370.63,100.0,0,13,13.0,16.3251533742,19.0,20
23,716.866,692.514,407.366,100.0,0,13,13.0,16.375,19.0,20
24,746.643,731.115,397.756,100.0,0,0.0,0.0,0.0,0.0,0.0
25,276.021,270.516,158.89,100.0,0,0.0,0.0,0.0,0.0,0.0
26,85.034,82.733,53.82,100.0,0,0.0,0.0,0.0,0.0,0.0
27,29.823,29.191,19.413,100.0,0,0.0,0.0,0.0,0.0,0.0
28,27.435,27.033,16.529,100.0,0,0.0,0.0,0.0,0.0,0.0
29,3.522,3.548,1.66,100.0,0,0.0,0.0,0.0,0.0,0.0
30,-0.0,-0.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
