timeslot,sfc_id,vnf_count,server_count,co_count,path_stretch
0,0,6,1,1,20
0,1,5,1,1,18
0,2,4,1,1,16
0,3,4,1,1,15
0,4,5,1,1,18
0,5,4,1,1,16
0,6,5,1,1,17
0,7,5,1,1,18
0,8,3,1,1,14
0,9,3,1,1,13
0,10,5,1,1,17
0,11,5,1,1,18
0,12,3,1,1,14
0,13,4,1,1,16
0,14,6,1,1,19
0,15,4,1,1,16
0,16,5,1,1,17
0,17,5,1,1,17
0,18,4,1,1,16
0,19,4,1,1,16
0,20,4,1,1,15
0,21,3,1,1,14
0,22,6,1,1,20
0,23,3,1,1,13
0,24,5,1,1,18
0,25,3,1,1,13
1,26,3,1,1,14
1,27,4,1,1,16
1,28,4,1,1,16
1,29,3,1,1,13
1,30,5,1,1,18
1,31,6,1,1,20
1,32,3,1,1,13
1,33,5,1,1,17
1,34,4,1,1,16
1,35,5,1,1,18
1,36,4,1,1,16
1,37,5,1,1,17
1,38,3,1,1,13
1,39,6,1,1,20
1,40,3,1,1,14
1,41,5,1,1,18
1,42,6,1,1,20
1,43,6,1,1,20
1,44,3,1,1,13
1,45,6,1,1,20
1,46,3,1,1,13
1,47,5,1,1,17
1,48,6,1,1,20
1,49,4,1,1,16
1,50,6,1,1,19
1,51,5,1,1,18
1,52,4,1,1,15
1,53,3,1,1,14
1,54,3,1,1,14
1,55,5,1,1,17
1,56,5,1,1,18
2,57,6,1,1,20
2,58,3,1,1,14
2,59,6,1,1,20
2,60,3,1,1,13
2,61,4,1,1,16
2,62,4,1,1,15
2,63,4,1,1,15
2,64,4,1,1,16
2,65,4,1,1,15
2,66,5,1,1,18
2,67,4,1,1,15
2,68,4,1,1,15
2,69,3,1,1,13
2,70,3,1,1,14
2,71,3,1,1,14
2,72,3,1,1,14
2,73,5,1,1,18
2,74,3,1,1,13
2,75,4,1,1,15
2,76,4,1,1,16
2,77,6,1,1,20
2,78,5,1,1,17
2,79,3,1,1,13
2,80,6,1,1,20
2,81,4,1,1,16
2,82,4,1,1,16
2,83,4,1,1,15
2,84,6,1,1,19
2,85,6,1,1,20
2,86,6,1,1,20
2,87,5,1,1,18
2,88,6,1,1,20
2,89,5,1,1,17
2,90,4,1,1,16
2,91,5,1,1,18
2,92,5,1,1,17
3,93,3,1,1,13
3,94,3,1,1,13
3,95,4,1,1,15
3,96,4,1,1,16
3,97,5,1,1,18
3,98,3,1,1,14
3,99,4,1,1,16
3,100,3,1,1,13
3,101,5,1,1,17
3,102,4,1,1,15
3,103,6,1,1,19
