timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.35,17.453125,21.65,32
1,869.842524492,237.52,401.363413267,100.0,0,13,13.0,17.2152777778,21.0,30
2,1287.14030857,344.382,563.95594835,100.0,0,13,13.0,17.0797546012,22.0,23
3,1523.98387049,450.703,516.756490413,100.0,0,13,15.0,18.062992126,22.0,23
4,1347.59070193,378.366,359.897253116,100.0,0,13,13.0,17.2565789474,22.0,23
5,1669.90507662,465.216,435.646813205,100.0,0,13,13.0,17.2985074627,22.0,23
6,1597.5978726,468.882,460.149456188,100.0,0,13,13.0,17.2647058824,21.0,22
7,1448.45825273,416.723,401.109491168,100.0,0,13,13.0,17.6,21.0,23
8,1499.40066793,413.401,415.426502339,100.0,0,13,13.0,17.0141843972,21.0,23
9,1811.72995305,507.789,498.105579492,100.0,0,13,13.0,17.5098039216,23.0,23
10,1753.02353755,523.474,504.548999845,100.0,0,13,14.0,16.7222222222,20.0,21
11,2692.63913158,805.604,215.38025212,100.0,93,15,16.0,20.3231707317,28.0,37
12,2015.28076545,560.311,534.483163635,100.0,0,14,14.0,18.4626865672,24.0,33
13,1595.00647858,434.392,571.726979555,100.0,46,14,14.2,21.0482758621,29.0,40
14,1288.5510583,357.419,779.952127296,100.0,2,13,13.0,18.4,27.0,30
15,1263.3825402,351.502,864.479166715,100.0,0,13,13.0,17.7662337662,25.0,30
16,1230.03682005,360.107,925.80686392,100.0,0,13,14.0,17.8258064516,25.6,30
17,1114.61037388,338.944,896.883205771,100.0,0,13,14.0,17.8602941176,26.0,30
18,1067.58222984,310.712,815.783737683,100.0,0,13,13.85,17.7826086957,23.0,27
19,1058.9576848,299.69,785.534686549,100.0,0,13,13.0,18.0137931034,27.0,29
20,1079.91986046,308.662,831.894276531,100.0,0,13,13.0,18.368,26.0,30
21,1029.98692678,298.454,790.855375342,100.0,0,13,13.25,17.7142857143,25.75,29
22,971.952742556,272.658,708.430282758,100.0,0,13,14.0,18.1923076923,27.0,30
23,1082.61493017,324.338,886.288615843,100.0,0,13,13.1,18.3426573427,26.0,30
24,1168.07148134,325.813,879.196070435,100.0,0,0.0,0.0,0.0,0.0,0.0
25,433.401730562,120.08,326.425853726,100.0,0,0.0,0.0,0.0,0.0,0.0
26,158.44392951,44.081,113.945171782,100.0,0,0.0,0.0,0.0,0.0,0.0
27,47.7966900206,14.316,36.382687337,100.0,0,0.0,0.0,0.0,0.0,0.0
28,35.1321446822,10.0,24.9410821694,100.0,0,0.0,0.0,0.0,0.0,0.0
29,9.14847065217,2.5,6.91564026009,100.0,0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
