timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,16.0084388186,19.0,20
1,684.097,612.375,231.597,100.0,0,13,13.0,16.2825112108,19.0,20
2,931.844,843.668,318.787,100.0,0,13,13.0,16.0338983051,19.0,20
3,1155.739,1050.674,307.879,100.0,0,13,13.0,15.9787234043,19.0,20
4,1120.009,1020.398,254.885,100.0,0,13,13.0,16.0905511811,19.35,20
5,1328.847,1215.449,275.452,100.0,0,13,13.0,16.1659919028,19.0,20
6,1371.625,1257.465,289.624,100.0,0,13,13.0,15.925,19.0,20
7,1293.984,1188.59,285.105,100.0,0,13,13.0,15.9482758621,19.0,20
8,1247.059,1148.11,285.39,100.0,0,13,13.0,16.0815450644,19.0,20
9,1277.958,1160.804,287.72,100.0,0,13,13.0,16.1844262295,19.0,20
10,1306.906,1198.381,276.001,100.0,0,13,13.0,16.0255319149,20.0,20
11,1438.707,1274.21,97.143,100.0,0,13,13.0,16.1,19.0,20
12,1530.022,1344.784,121.67,100.0,0,13,13.0,15.9795918367,19.0,20
13,1484.538,1295.662,204.375,100.0,72,13,13.0,16.0209205021,19.0,20
14,1234.473,1100.481,423.098,100.0,44,13,13.0,16.1300813008,19.0,20
15,1018.831,921.559,475.004,100.0,0,13,13.0,16.3388429752,20.0,20
16,1078.129,992.417,511.532,100.0,0,13,13.0,15.987394958,19.0,20
17,930.148,861.465,473.204,100.0,0,13,13.0,16.1138211382,19.0,20
18,993.035,921.096,528.661,100.0,0,13,13.0,16.3496240602,19.75,20
19,1121.687,1038.136,554.798,100.0,0,13,13.0,16.0983606557,19.0,20
20,1072.615,1003.797,547.632,100.0,0,13,13.0,16.1459227468,19.0,20
21,1093.254,1016.761,518.729,100.0,0,13,13.0,16.3540669856,20.0,20
22,970.227,885.937,490.535,100.0,0,13,13.0,16.0965250965,20.0,20
23,1034.646,963.304,510.073,100.0,0,13,13.0,16.0916334661,19.0,20
24,1106.389,1024.209,566.985,100.0,0,0.0,0.0,0.0,0.0,0.0
25,386.232,355.369,188.356,100.0,0,0.0,0.0,0.0,0.0,0.0
26,137.777,128.07,75.57,100.0,0,0.0,0.0,0.0,0.0,0.0
27,49.395,48.128,32.82,100.0,0,0.0,0.0,0.0,0.0,0.0
28,26.506,24.984,18.102,100.0,0,0.0,0.0,0.0,0.0,0.0
29,11.678,11.015,13.463,100.0,0,0.0,0.0,0.0,0.0,0.0
30,6.902,6.7,6.025,100.0,0,0.0,0.0,0.0,0.0,0.0
31,2.449,2.158,4.535,100.0,0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
