timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,14.0,18.3066202091,24.0,35
1,1933.83659627,533.558,920.986440808,100.0,0,13,14.0,18.2942942943,23.0,30
2,2942.30054645,780.674,1317.51790395,100.0,0,13,14.0,18.4809688581,23.0,25
3,2868.97627398,845.221,1067.43238967,100.0,0,13,14.0,18.5034965035,22.0,29
4,3115.30815662,915.409,968.348333109,100.0,0,13,14.0,18.1373134328,23.0,25
5,3826.36746126,1091.056,1143.17527661,100.0,0,13,14.0,18.2953020134,23.0,25
6,3498.62635872,1033.74,1072.98951073,100.0,0,13,14.0,18.4813559322,23.0,25
7,3500.93953005,1003.334,1027.89609275,100.0,0,13,14.0,18.2119205298,23.0,25
8,3399.02960691,952.605,998.03914319,100.0,0,13,14.0,18.5046439628,23.0,25
9,3322.20892022,980.862,992.685184971,100.0,0,13,14.0,18.2577639752,23.0,25
10,3339.11185804,1010.597,1040.43933316,100.0,0,13,13.0,17.228125,21.0,21
11,5726.26086689,1672.164,419.218422404,100.0,200,15,16.0,22.0221518987,31.0,36
12,3640.41806783,1090.797,1070.72482577,100.0,2,13,14.0,20.1596091205,30.0,36
13,3694.62301842,986.944,1379.09005835,100.0,88,14,14.0,22.4969512195,31.0,34
14,2734.67581401,799.575,1720.11739293,100.0,8,13,14.0,18.9063545151,26.0,33
15,2438.65796461,728.255,1866.88405007,100.0,0,13,14.0,18.5551948052,26.0,33
16,2568.39183695,733.217,1984.73029843,100.0,0,13,14.0,18.6406779661,26.3,33
17,2551.72799246,708.274,1903.81271094,100.0,0,13,14.0,18.6882352941,26.05,33
18,2538.11545574,720.475,1921.51070515,100.0,0,13,14.0,19.0984615385,27.0,33
19,2604.28885543,743.924,2040.22815859,100.0,0,13,14.0,18.8990228013,26.7,33
20,2622.62983754,746.39,2033.70493872,100.0,0,13,14.0,18.6666666667,27.0,33
21,2591.37311097,756.527,2079.57684495,100.0,0,13,14.0,18.8682432432,26.25,32
22,2415.71525451,716.349,1949.55359547,100.0,0,13,14.0,18.7197452229,27.0,32
23,2493.81205944,743.339,2067.66392026,100.0,0,13,14.0,18.6479750779,26.0,33
24,2646.10974057,779.745,2073.06636783,100.0,0,0.0,0.0,0.0,0.0,0.0
25,1028.78256236,293.159,786.18510158,100.0,0,0.0,0.0,0.0,0.0,0.0
26,349.681857949,103.778,282.607925569,100.0,0,0.0,0.0,0.0,0.0,0.0
27,159.353096111,46.41,121.310592551,100.0,0,0.0,0.0,0.0,0.0,0.0
28,69.4581226673,19.316,49.331673253,100.0,0,0.0,0.0,0.0,0.0,0.0
29,25.1636319412,7.159,17.7419714212,100.0,0,0.0,0.0,0.0,0.0,0.0
30,25.932339551,7.159,18.3003619635,100.0,0,0.0,0.0,0.0,0.0,0.0
31,-0.0,-0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
