timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,16.5114942529,19.0,20
1,875.599,790.76,657.035,100.0,0,13,13.0,16.4568965517,19.0,20
2,1100.536,982.246,896.104,100.0,0,13,13.0,16.4675675676,20.0,20
3,1486.343,1420.053,615.425,100.0,0,13,13.0,16.303030303,19.9,20
4,1651.918,1597.176,563.333,100.0,0,13,13.0,16.247761194,19.0,20
5,1640.997,1599.089,486.265,100.0,0,13,13.0,16.3794117647,19.0,20
6,1662.934,1622.763,469.927,100.0,0,13,13.0,16.4069400631,19.0,20
7,1596.666,1553.53,492.048,100.0,0,13,13.0,16.2271386431,19.0,20
8,1640.468,1594.687,494.907,100.0,0,13,13.0,16.2176656151,20.0,20
9,1603.988,1563.51,465.692,100.0,0,13,13.0,16.2238372093,19.0,20
10,1895.604,1856.106,508.623,100.0,0,13,13.0,16.5346260388,20.0,20
11,2330.826,2132.713,218.304,100.0,0,13,13.0,16.1988304094,19.0,20
12,2248.564,2057.047,185.049,100.0,144,13,13.0,16.4673202614,19.75,20
13,1599.035,1340.345,588.38,100.0,116,13,13.0,16.2662889518,20.0,20
14,1264.396,1121.337,920.216,100.0,106,13,13.0,16.245014245,20.0,20
15,1091.921,1038.271,1118.66,100.0,0,13,13.0,16.0903614458,19.0,20
16,941.907,892.938,1044.508,100.0,0,13,13.0,16.1483679525,19.0,20
17,942.631,897.791,1023.151,100.0,0,13,13.0,16.3439306358,20.0,20
18,960.52,914.6,1073.102,100.0,0,13,13.0,16.2039660057,19.0,20
19,1007.692,963.776,1082.484,100.0,0,13,13.0,16.4088235294,20.0,20
20,1023.091,978.305,1105.997,100.0,0,13,13.0,16.4164305949,19.4,20
21,1040.521,988.962,1189.29,100.0,0,13,13.0,16.4811827957,20.0,20
22,1073.429,1026.299,1172.853,100.0,0,13,13.0,16.2551546392,19.0,20
23,1123.357,1071.235,1241.168,100.0,0,13,13.0,16.4285714286,19.0,20
24,1044.239,992.679,1194.829,100.0,0,0.0,0.0,0.0,0.0,0.0
25,377.256,356.739,454.862,100.0,0,0.0,0.0,0.0,0.0,0.0
26,126.352,120.897,138.074,100.0,0,0.0,0.0,0.0,0.0,0.0
27,41.698,41.206,32.536,100.0,0,0.0,0.0,0.0,0.0,0.0
28,16.265,15.903,15.924,100.0,0,0.0,0.0,0.0,0.0,0.0
29,2.593,2.329,4.205,100.0,0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
