timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,14.0,19.4074074074,25.0,26
1,2093.98040034,750.565,606.634617139,100.0,0,13,14.0,19.4474576271,25.0,26
2,2390.28119801,913.071,760.427065659,100.0,0,13,15.0,20.3040540541,25.0,26
3,3560.48860407,1318.782,580.325529129,100.0,0,13,15.0,20.1727941176,25.0,25
4,3652.97684273,1431.874,525.951944451,100.0,0,13,15.0,20.0215827338,25.0,26
5,3540.36841676,1347.763,437.028022252,100.0,0,13,15.0,20.112244898,25.0,26
6,3781.855918,1445.012,452.778411148,100.0,0,13,15.0,20.1715328467,25.0,26
7,3754.26708459,1436.016,459.407932805,100.0,0,13,14.3,20.1533101045,25.0,26
8,3469.32205495,1416.293,438.82429912,100.0,0,13,15.0,19.7035573123,25.0,26
9,3415.49385724,1382.29,412.762025811,100.0,0,13,15.0,20.1615384615,25.0,26
10,3666.74428151,1440.815,438.292510987,100.0,0,13,13.0,16.8992805755,20.0,21
11,4285.63751662,1612.153,159.281910296,100.0,0,13,13.0,16.84375,20.0,21
12,4346.88707937,1693.146,204.96742894,100.0,118,13,14.0,19.4866920152,26.0,27
13,3491.84367744,1226.439,850.517257718,100.0,14,13,14.0,19.667896679,25.5,27
14,2890.53856126,1084.41,1080.00850153,100.0,3,13,14.0,19.7286245353,25.0,26
15,2772.70364509,1053.144,1146.72707822,100.0,0,13,14.0,19.0444444444,25.0,26
16,2862.04556039,1035.331,1221.94783286,100.0,0,13,14.0,19.4812030075,25.0,26
17,2692.43842218,1016.654,1167.93834122,100.0,0,13,14.0,19.726618705,25.0,26
18,2570.06569749,981.369,1109.10173166,100.0,0,13,14.0,19.4033898305,25.0,26
19,2771.34302274,1023.706,1123.12676349,100.0,0,13,14.0,19.2365591398,25.0,26
20,2588.454871,983.159,1121.60647249,100.0,0,13,15.0,19.8363636364,25.0,26
21,2689.57536464,1001.579,1142.2298469,100.0,0,13,14.0,19.4820846906,25.0,26
22,2915.07964372,1107.303,1271.943875,100.0,0,13,14.0,19.2819548872,24.0,26
23,2785.70371605,1019.188,1147.19579956,100.0,0,13,14.0,19.2445255474,25.0,26
24,2608.04888082,1012.611,1175.49733895,100.0,0,0.0,0.0,0.0,0.0,0.0
25,1012.15443835,379.449,444.961364465,100.0,0,0.0,0.0,0.0,0.0,0.0
26,362.226352793,138.036,176.224117614,100.0,0,0.0,0.0,0.0,0.0,0.0
27,190.617896608,72.479,77.5993628381,100.0,0,0.0,0.0,0.0,0.0,0.0
28,41.6507625115,15.311,15.6024677505,100.0,0,0.0,0.0,0.0,0.0,0.0
29,6.15812125828,2.329,6.08558477024,100.0,0,0.0,0.0,0.0,0.0,0.0
30,-0.0,-0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
