timeslot,sfc_id,vnf_count,server_count,co_count,path_stretch
0,0,5,2,2,23
0,1,4,2,2,22
0,2,3,2,2,20
0,3,5,1,1,17
0,4,5,2,2,24
0,5,5,1,1,17
0,6,6,1,1,20
0,7,3,2,2,20
0,8,3,2,2,19
0,9,3,2,2,20
0,10,6,2,2,25
0,11,3,2,2,20
0,12,6,1,1,20
0,13,3,1,1,14
0,14,5,2,2,23
0,15,4,2,2,22
0,16,6,1,1,20
0,17,6,2,2,24
0,18,3,1,1,13
0,19,6,2,2,24
0,20,5,1,1,19
0,21,4,2,2,22
0,22,6,1,1,21
0,23,5,2,2,23
0,24,4,2,2,21
0,25,5,1,1,18
0,26,4,2,2,20
0,27,4,1,1,16
0,28,4,2,2,22
0,29,3,2,2,19
0,30,5,1,1,18
0,31,4,2,2,20
0,32,5,1,1,18
0,33,6,2,2,24
0,34,6,1,1,19
0,35,6,2,2,26
0,36,5,1,1,19
0,37,3,1,1,15
0,38,4,1,1,15
0,39,5,1,1,18
0,40,3,2,2,20
0,41,4,1,1,15
0,42,3,2,2,20
0,43,6,1,1,21
0,44,3,2,2,20
0,45,4,1,1,15
0,46,6,2,2,26
0,47,6,1,1,19
0,48,4,1,1,16
0,49,6,2,2,25
0,50,5,1,1,17
0,51,3,2,2,20
0,52,4,1,1,16
0,53,4,2,2,20
0,54,6,1,1,20
0,55,5,2,2,23
0,56,5,1,1,17
0,57,3,2,2,20
0,58,4,2,2,21
0,59,5,2,2,22
0,60,6,1,1,21
0,61,3,2,2,19
0,62,6,2,2,24
0,63,5,2,2,23
0,64,4,1,1,16
0,65,3,1,1,15
0,66,3,1,1,15
0,67,5,1,1,17
0,68,4,2,2,21
0,69,4,1,1,16
0,70,3,2,2,19
0,71,3,2,2,19
0,72,5,2,2,24
0,73,4,2,2,20
0,74,6,1,1,21
0,75,3,1,1,14
0,76,6,1,1,21
0,77,3,2,2,18
0,78,3,1,1,13
0,79,3,1,1,13
0,80,3,1,1,14
0,81,6,2,2,25
0,82,4,2,2,21
0,83,4,2,2,22
0,84,4,1,1,16
0,85,4,1,1,17
0,86,4,1,1,16
0,87,5,2,2,24
0,88,6,1,1,20
0,89,6,1,1,21
0,90,5,2,2,23
0,91,5,1,1,17
0,92,5,1,1,18
0,93,6,1,1,19
0,94,4,1,1,16
0,95,4,1,1,17
0,96,5,1,1,18
0,97,4,2,2,21
0,98,5,1,1,18
0,99,5,2,2,23
0,100,4,2,2,22
0,101,3,2,2,19
0,102,5,1,1,18
0,103,4,2,2,20
0,104,5,1,1,18
0,105,6,1,1,21
0,106,5,1,1,19
0,107,4,1,1,16
0,108,4,1,1,16
0,109,3,1,1,15
0,110,4,2,2,20
0,111,4,2,2,21
0,112,4,2,2,20
0,113,4,1,1,15
0,114,6,2,2,25
0,115,3,2,2,19
0,116,4,2,2,21
0,117,6,2,2,25
0,118,5,1,1,17
0,119,3,1,1,13
0,120,3,2,2,19
0,121,4,1,1,16
0,122,6,2,2,25
0,123,3,1,1,15
0,124,3,2,2,19
0,125,5,1,1,17
0,126,3,2,2,19
0,127,6,2,2,24
0,128,5,1,1,17
0,129,3,1,1,15
0,130,3,1,1,14
0,131,5,1,1,17
0,132,4,1,1,16
0,133,6,1,1,20
0,134,5,1,1,17
0,135,4,1,1,15
0,136,3,1,1,13
0,137,6,2,2,25
0,138,3,2,2,19
0,139,3,1,1,14
0,140,3,2,2,18
0,141,5,1,1,18
0,142,6,2,2,25
0,143,5,2,2,24
0,144,5,1,1,18
0,145,3,1,1,13
0,146,4,2,2,21
0,147,4,1,1,16
0,148,5,2,2,24
0,149,5,1,1,17
0,150,3,2,2,18
0,151,5,1,1,18
0,152,3,1,1,15
0,153,6,1,1,21
0,154,6,1,1,19
0,155,5,2,2,23
0,156,5,1,1,17
0,157,4,2,2,20
0,158,6,2,2,24
0,159,4,2,2,22
0,160,4,1,1,16
0,161,6,2,2,25
0,162,6,1,1,20
0,163,3,1,1,15
0,164,6,1,1,21
0,165,5,2,2,22
0,166,5,2,2,22
0,167,4,2,2,21
0,168,4,1,1,16
0,169,5,1,1,17
0,170,4,1,1,16
0,171,3,1,1,14
0,172,3,2,2,20
0,173,4,2,2,22
0,174,3,2,2,19
0,175,5,1,1,17
0,176,4,2,2,20
0,177,4,1,1,15
0,178,4,1,1,16
0,179,5,1,1,19
0,180,6,2,2,25
0,181,4,2,2,20
0,182,3,2,2,20
0,183,3,1,1,14
0,184,5,1,1,19
0,185,4,1,1,16
0,186,5,2,2,23
0,187,5,2,2,23
0,188,6,2,2,26
0,189,6,1,1,19
0,190,5,2,2,23
0,191,6,1,1,20
0,192,6,1,1,20
0,193,3,1,1,13
0,194,6,1,1,20
0,195,4,1,1,15
0,196,5,2,2,23
0,197,4,2,2,20
0,198,4,1,1,16
0,199,6,2,2,25
0,200,3,1,1,15
0,201,6,2,2,25
0,202,5,1,1,17
0,203,3,2,2,19
