timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,16.9158249158,21.0,21
1,2939.98077429,785.38,326.756736691,100.0,0,13,13.0,16.8881355932,20.0,21
2,3499.60077738,956.136,447.141528559,100.0,0,13,13.0,16.9932432432,20.0,21
3,4509.73317134,1379.172,278.144958926,100.0,0,13,13.0,16.8455882353,20.0,21
4,5031.00822166,1497.214,220.443784393,100.0,0,13,13.0,16.8561151079,20.0,21
5,4684.03557555,1409.473,174.901564171,100.0,0,13,13.0,16.9149659864,20.0,21
6,5097.36251941,1515.632,177.254954255,100.0,0,13,13.0,16.9416058394,21.0,21
7,5208.10525063,1510.266,169.948164526,100.0,0,13,13.0,16.9128919861,20.0,21
8,5141.89902623,1487.573,158.206105922,100.0,0,13,13.0,16.837944664,20.0,21
9,4588.85016659,1448.455,149.908322998,100.0,0,13,13.0,17.1423076923,20.0,21
10,4844.75956911,1511.6,154.915579428,100.0,0,13,13.0,16.8992805755,20.0,21
11,5725.82188244,1638.883,60.0429224974,100.0,0,13,13.0,16.84375,20.0,21
12,5682.60773988,1703.211,118.413202089,100.0,119,13,13.0,17.0190114068,21.0,21
13,4310.79592827,1250.883,503.352355529,100.0,3,13,13.0,17.0405904059,21.0,21
14,4104.31443217,1133.367,617.032727975,100.0,0,13,13.0,16.9962825279,20.0,21
15,3951.10544707,1111.967,666.784563532,100.0,0,13,13.0,16.5814814815,20.0,21
16,3611.62755422,1094.776,684.158266698,100.0,0,13,13.0,16.962406015,20.0,21
17,3801.61813398,1076.36,695.324523741,100.0,0,13,13.0,17.118705036,21.0,21
18,3510.98532935,1040.108,644.514307606,100.0,0,13,13.0,16.8779661017,20.0,21
19,3787.43571917,1082.114,635.430702251,100.0,0,13,13.0,17.0143369176,20.0,21
20,3500.37851512,1038.269,651.793540708,100.0,0,13,13.0,17.1090909091,20.0,21
21,3820.8933332,1061.804,685.032228668,100.0,0,13,13.0,16.9087947883,21.0,21
22,4119.86247784,1175.943,757.524004961,100.0,0,13,13.0,16.5751879699,20.0,21
23,3562.45901648,1082.383,662.040718099,100.0,0,13,13.0,16.7810218978,20.0,21
24,3737.28891188,1073.496,686.298959844,100.0,0,0.0,0.0,0.0,0.0,0.0
25,1412.56576471,401.064,255.936192348,100.0,0,0.0,0.0,0.0,0.0,0.0
26,518.303143633,146.286,106.629162176,100.0,0,0.0,0.0,0.0,0.0,0.0
27,275.126127574,77.264,43.7439245218,100.0,0,0.0,0.0,0.0,0.0,0.0
28,56.9679278495,16.301,9.1207035238,100.0,0,0.0,0.0,0.0,0.0,0.0
29,8.31445459977,2.329,4.11625500069,100.0,0,0.0,0.0,0.0,0.0,0.0
30,-0.0,0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
