3582	0	0	0
4600	0	0	0
101	2	1	6
3	2	1	0
11608	3	2	19
12050	3	2	10
3701	3	3	1
9070	4	3	10
13129	7	9	3
3967	7	6	21
4006	7	9	21
6539	7	13	22
15412	8	9	48
1784	8	8	15
6939	8	14	21
7543	8	9	68
4755	9	11	67
2497	10	20	100000
3602	10	15	20
2687	11	16	60
4725	11	13	49
6509	12	22	10
4513	13	13	28
4544	14	18	10
11537	15	24	12
15290	17	18	18
1785	17	22	9
7176	17	17	14
7170	18	60	43
6461	19	34	42
4565	20	25	20
6467	20	37	17
16631	22	32	20
5650	22	27	10
4589	23	24	28
9942	23	24	74
10910	24	16	3
2686	25	35	45
5669	25	26	9
6395	25	54	21
7911	25	44	28
8220	25	64	34
4637	27	57	100000
7132	28	43	12
5400	29	45	71
577	29	33	17
852	30	34	8
1299	31	44	31
5511	36	50	56
2828	40	45	19
3257	41	87	31
6453	41	54	59
1	42	55	60
2548	42	58	20
3300	43	56	100000
1221	44	44	60
174	45	78	100000
4323	51	161	100000
1239	52	84	60
1668	53	64	44
209	58	108	60
3549	61	486	66
3356	63	285	100000
2914	70	111	68
3320	70	355	55
701	83	219	100000
702	83	124	60
3561	92	329	60
7018	115	148	100000
