timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,14.0,19.4074074074,25.0,26
1,663.985575,750.565,589.029829545,100.0,0,13,14.0,19.4474576271,25.0,26
2,807.729075,913.071,749.623579549,100.0,0,13,15.0,20.3040540541,25.0,26
3,1103.38857,1318.782,565.223011364,100.0,0,13,15.0,20.1727941176,25.0,25
4,1178.091585,1431.874,511.752840909,100.0,0,13,15.0,20.0215827338,25.0,26
5,1104.98436,1347.763,432.232954545,100.0,0,13,15.0,20.112244898,25.0,26
6,1186.941105,1445.012,446.606534091,100.0,0,13,15.0,20.1715328467,25.0,26
7,1185.60465,1436.016,450.426136364,100.0,0,13,14.3,20.1533101045,25.0,26
8,1171.1079,1416.293,430.748579545,100.0,0,13,15.0,19.7035573123,25.0,26
9,1133.871525,1382.29,402.535511364,100.0,0,13,15.0,20.1615384615,25.0,26
10,1172.093985,1440.815,425.973011364,100.0,0,13,13.0,16.8992805755,20.0,21
11,1357.713585,1612.153,156.987215909,100.0,0,13,13.0,16.84375,20.0,21
12,1399.500945,1693.146,200.274147727,100.0,118,13,14.0,19.4866920152,26.0,27
13,1081.296135,1226.439,830.119318182,100.0,14,13,14.0,19.667896679,25.5,27
14,935.93619,1084.41,1064.32244318,100.0,3,13,14.0,19.7286245353,25.0,26
15,901.50201,1053.144,1132.89630682,100.0,0,13,14.0,19.0444444444,25.0,26
16,883.73106,1035.331,1191.83948864,100.0,0,13,14.0,19.4812030075,25.0,26
17,864.544095,1016.654,1150.69318182,100.0,0,13,14.0,19.726618705,25.0,26
18,835.007445,981.369,1087.27698864,100.0,0,13,14.0,19.4033898305,25.0,26
19,874.294785,1023.706,1098.18181818,100.0,0,13,14.0,19.2365591398,25.0,26
20,840.027375,983.159,1108.19460227,100.0,0,13,15.0,19.8363636364,25.0,26
21,854.742915,1001.579,1124.22869318,100.0,0,13,14.0,19.4820846906,25.0,26
22,944.374905,1107.303,1243.79545455,100.0,0,13,14.0,19.2819548872,24.0,26
23,868.93443,1019.188,1131.28409091,100.0,0,13,14.0,19.2445255474,25.0,26
24,862.547445,1012.611,1145.43039773,100.0,0,0.0,0.0,0.0,0.0,0.0
25,324.32022,379.449,432.720170455,100.0,0,0.0,0.0,0.0,0.0,0.0
26,117.578205,138.036,172.816761364,100.0,0,0.0,0.0,0.0,0.0,0.0
27,61.46469,72.479,75.5880681818,100.0,0,0.0,0.0,0.0,0.0,0.0
28,13.05549,15.311,15.3465909091,100.0,0,0.0,0.0,0.0,0.0,0.0
29,1.983645,2.329,5.97301136364,100.0,0,0.0,0.0,0.0,0.0,0.0
30,-0.0,-0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
