timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,17.2110552764,21.0,21
1,2116.57302852,623.844,240.992295922,100.0,0,13,13.0,17.0301507538,20.0,21
2,2616.90442667,757.886,308.060276789,100.0,0,13,13.0,16.905982906,21.0,21
3,3731.93166805,1054.937,287.637934892,100.0,0,13,13.0,16.786407767,21.0,21
4,3167.53950985,989.183,238.736664198,100.0,0,13,13.0,16.987012987,20.0,21
5,3631.37063231,1060.841,254.579902119,100.0,0,13,13.0,16.9862385321,21.0,21
6,3958.61586722,1142.778,268.876032478,100.0,0,13,13.0,17.3433476395,20.4,21
7,3910.80957118,1157.342,262.263364542,100.0,0,13,13.0,17.0594059406,20.0,21
8,3741.80616614,1072.215,212.137675079,100.0,0,13,13.0,16.9488372093,20.0,21
9,3331.58832563,1052.042,250.000122657,100.0,0,13,13.0,16.9569892473,20.0,21
10,3424.27293754,988.734,239.584932738,100.0,0,13,13.0,16.8820512821,20.0,21
11,3901.76424719,1169.741,95.7294035895,100.0,0,13,13.0,16.7389162562,20.0,21
12,4190.53819626,1224.515,101.836644037,100.0,0,13,13.0,16.9852216749,20.0,21
13,4000.45873009,1166.862,179.359312495,100.0,66,13,13.0,17.1990521327,21.0,21
14,3492.87259133,979.915,367.386317815,100.0,52,13,13.0,17.0242718447,21.0,21
15,2658.53970897,803.963,409.74694655,100.0,0,13,13.0,17.1333333333,21.0,21
16,2350.9629397,734.123,401.739303222,100.0,0,13,13.0,16.1865284974,20.0,21
17,2341.0360964,746.021,417.286966473,100.0,0,13,13.0,16.8923076923,20.3,21
18,2441.20124475,767.149,441.389466426,100.0,0,13,13.0,17.105,21.0,21
19,2630.39560354,800.019,450.99800868,100.0,0,13,13.0,17.2077922078,21.0,21
20,3178.28439126,1007.313,497.695694014,100.0,0,13,13.0,17.2420091324,21.0,21
21,2967.49888459,928.141,483.755643845,100.0,0,13,13.0,17.0095238095,21.0,21
22,2918.23545815,878.429,472.185926228,100.0,0,13,13.0,17.0153061224,21.0,21
23,2627.65119518,825.298,407.622011514,100.0,0,13,13.0,16.7476635514,20.0,21
24,2837.82477532,844.957,440.182623426,100.0,0,0.0,0.0,0.0,0.0,0.0
25,925.715762979,280.54,138.052310607,100.0,0,0.0,0.0,0.0,0.0,0.0
26,307.400361459,95.988,47.6095430093,100.0,0,0.0,0.0,0.0,0.0,0.0
27,111.578561244,35.715,22.9797100607,100.0,0,0.0,0.0,0.0,0.0,0.0
28,16.5904258669,4.555,1.47265623128,100.0,0,0.0,0.0,0.0,0.0,0.0
29,0.0,-0.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
