timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.6,20.2477876106,25.0,25
1,755.52123548,273.838,329.217544493,100.0,0,13,15.0,20.4901960784,25.0,25
2,1152.40995447,398.575,448.683629172,100.0,0,13,15.0,21.2419354839,26.0,26
3,1540.7664059,572.571,385.709629796,100.0,0,13,15.0,21.3545454545,25.0,26
4,1339.74613101,501.464,288.474746997,100.0,0,13,15.0,20.7722772277,25.0,26
5,1204.85071751,466.503,248.609309252,100.0,0,13,15.0,21.4299065421,26.0,26
6,1299.76660475,502.726,268.243914562,100.0,0,13,14.8,21.0924369748,26.0,26
7,1505.35194146,578.596,301.496431506,100.0,0,13,14.5,21.2327586207,26.0,26
8,1536.45176211,606.713,306.503930503,100.0,0,13,13.0,20.2254901961,25.0,26
9,1235.56816922,478.862,256.191648357,100.0,0,13,13.0,20.8476190476,25.0,26
10,1399.32861379,501.885,271.813452001,100.0,0,13,13.0,15.9,19.0,20
11,1310.98051604,480.281,78.7499148508,100.0,0,13,13.0,16.0826446281,19.0,20
12,1504.62421986,574.464,113.865316118,100.0,26,13,13.0,18.932038835,25.0,26
13,1201.29112779,439.723,378.560661451,100.0,6,13,14.0,20.0769230769,25.0,25
14,1289.35734549,478.27,630.624384464,100.0,0,13,14.0,19.9603960396,25.0,25
15,1186.64765707,439.292,652.664312109,100.0,0,13,14.0,19.5769230769,25.0,25
16,1223.668467,431.129,658.364517212,100.0,0,13,14.0,20.4820143885,25.0,25
17,1254.77435361,484.758,720.52580214,100.0,0,13,14.0,20.3364485981,25.0,25
18,1112.89947709,393.913,635.867155478,100.0,0,13,14.0,20.017699115,25.0,25
19,1191.01917495,432.358,714.168980218,100.0,0,13,13.0,19.734375,25.0,25
20,1176.56589837,438.358,711.044770187,100.0,0,13,14.0,20.0784313725,25.0,25
21,1014.46020357,374.949,614.642841354,100.0,0,13,14.0,19.5048543689,25.0,25
22,889.030592662,327.22,543.243421579,100.0,0,13,13.0,20.5617977528,25.0,25
23,794.925719237,300.411,464.981000872,100.0,0,14,15.0,20.3786407767,25.0,25
24,846.009607056,316.849,529.030552712,100.0,0,0.0,0.0,0.0,0.0,0.0
25,305.074887393,113.467,207.487962349,100.0,0,0.0,0.0,0.0,0.0,0.0
26,135.17349274,50.777,95.8593028546,100.0,0,0.0,0.0,0.0,0.0,0.0
27,38.2974133801,13.13,15.7327842971,100.0,0,0.0,0.0,0.0,0.0,0.0
28,12.4638414776,4.043,4.76978487093,100.0,0,0.0,0.0,0.0,0.0,0.0
29,-0.0,-0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
