timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,19.0522648084,25.0,25
1,694.88469,804.286,823.53515625,100.0,0,13,13.0,19.5015015015,25.0,25
2,1022.62293,1192.337,1187.79882812,100.0,0,13,14.0,20.1280276817,25.0,25
3,1097.58987,1347.455,769.146484375,100.0,0,13,13.0,20.0384615385,25.0,25
4,1182.966165,1465.724,686.994140625,100.0,0,13,13.7,19.728358209,25.0,25
5,1416.320235,1758.008,735.83984375,100.0,0,13,14.0,19.932885906,25.0,25
6,1346.93397,1676.544,662.634765625,100.0,0,13,14.0,20.213559322,25.0,25
7,1302.659595,1625.07,654.150390625,100.0,0,13,14.0,20.0629139073,25.0,25
8,1237.40433,1538.234,641.611328125,100.0,0,13,13.0,20.0681114551,25.0,25
9,1295.231445,1605.981,619.9375,100.0,0,13,14.0,19.8726708075,25.0,25
10,1337.457915,1655.843,627.2265625,100.0,0,13,13.0,16.790625,20.0,21
11,1582.73145,1917.951,253.46875,100.0,0,13,13.0,16.9873417722,20.0,21
12,1488.19581,1836.426,291.337890625,100.0,99,13,14.0,18.9739413681,26.0,26
13,1228.938075,1431.42,1159.62304688,100.0,24,13,13.0,19.5426829268,25.0,26
14,1083.615615,1296.657,1493.30273438,100.0,0,13,14.0,19.5518394649,25.0,25
15,954.68787,1151.719,1646.640625,100.0,0,13,14.0,19.2694805195,25.0,25
16,973.833525,1183.474,1698.29101562,100.0,0,13,13.7,19.3762711864,25.0,25
17,949.659525,1157.68,1637.52734375,100.0,0,13,13.0,19.4117647059,25.0,25
18,948.26493,1163.278,1721.4296875,100.0,0,13,14.0,19.7661538462,25.0,25
19,993.311955,1222.799,1744.15625,100.0,0,13,14.0,19.2475570033,25.0,25
20,1025.062515,1243.706,1689.05078125,100.0,0,13,14.0,19.0517799353,25.0,25
21,1027.952685,1248.225,1681.06835938,100.0,0,13,14.0,19.3445945946,25.0,25
22,953.0676,1161.957,1676.48242188,100.0,0,13,14.0,19.4426751592,25.0,25
23,1017.05985,1234.649,1679.12109375,100.0,0,13,13.0,19.2492211838,25.0,25
24,1057.871835,1288.286,1768.94921875,100.0,0,0.0,0.0,0.0,0.0,0.0
25,379.41246,461.937,691.640625,100.0,0,0.0,0.0,0.0,0.0,0.0
26,145.09296,176.688,227.8828125,100.0,0,0.0,0.0,0.0,0.0,0.0
27,65.893275,79.233,97.34375,100.0,0,0.0,0.0,0.0,0.0,0.0
28,32.5125,37.879,28.873046875,100.0,0,0.0,0.0,0.0,0.0,0.0
29,11.829195,13.476,10.1640625,100.0,0,0.0,0.0,0.0,0.0,0.0
30,11.829195,13.476,10.1640625,100.0,0,0.0,0.0,0.0,0.0,0.0
31,0.0,-0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
