timeslot,sfc_id,vnf_count,server_count,co_count,path_stretch
0,0,3,2,2,19
0,1,4,1,1,15
0,2,5,2,2,23
0,3,4,1,1,16
0,4,3,2,2,19
0,5,5,1,1,18
0,6,5,2,2,23
0,7,5,2,2,22
0,8,6,2,2,24
0,9,4,2,2,20
0,10,4,2,2,20
0,11,3,2,2,19
0,12,6,2,2,25
0,13,4,2,2,21
0,14,5,2,2,22
0,15,4,1,1,16
0,16,4,2,2,20
0,17,6,2,2,25
0,18,4,2,2,21
0,19,4,1,1,16
0,20,4,2,2,21
0,21,6,2,2,24
0,22,5,1,1,18
0,23,6,2,2,25
0,24,5,2,2,23
0,25,3,2,2,19
0,26,3,1,1,14
0,27,4,2,2,20
0,28,6,2,2,24
0,29,4,2,2,20
0,30,4,2,2,21
0,31,3,2,2,19
0,32,3,2,2,18
0,33,3,1,1,14
0,34,4,2,2,21
0,35,5,2,2,23
0,36,5,2,2,22
0,37,3,1,1,13
0,38,4,2,2,20
0,39,6,1,1,19
0,40,3,1,1,13
0,41,4,1,1,16
0,42,6,2,2,25
0,43,5,2,2,22
0,44,4,2,2,21
0,45,4,2,2,21
0,46,5,2,2,23
0,47,4,1,1,16
0,48,3,2,2,19
0,49,6,2,2,25
0,50,3,1,1,14
0,51,5,2,2,22
0,52,6,1,1,20
0,53,4,2,2,21
0,54,6,2,2,24
0,55,4,2,2,21
0,56,4,2,2,20
0,57,5,2,2,23
0,58,5,2,2,22
0,59,4,2,2,21
0,60,4,1,1,16
0,61,6,1,1,20
0,62,3,2,2,18
0,63,3,1,1,13
0,64,4,2,2,20
0,65,5,2,2,23
0,66,4,2,2,21
0,67,6,2,2,25
0,68,4,2,2,21
0,69,4,1,1,16
0,70,5,2,2,23
0,71,5,2,2,22
0,72,4,2,2,20
0,73,6,2,2,24
0,74,3,1,1,13
0,75,3,1,1,14
0,76,5,2,2,23
0,77,4,2,2,20
0,78,6,2,2,25
0,79,6,2,2,25
0,80,4,2,2,21
0,81,5,2,2,22
0,82,6,2,2,24
0,83,5,1,1,17
0,84,4,2,2,20
0,85,5,2,2,23
0,86,3,2,2,18
0,87,6,2,2,25
0,88,5,1,1,17
0,89,5,2,2,23
0,90,5,2,2,23
0,91,5,2,2,22
0,92,4,2,2,21
0,93,4,2,2,21
0,94,6,1,1,19
0,95,5,2,2,23
0,96,4,2,2,21
0,97,5,2,2,23
0,98,6,1,1,19
0,99,5,2,2,23
0,100,5,2,2,22
0,101,5,2,2,23
0,102,4,1,1,16
0,103,5,2,2,23
0,104,3,2,2,19
0,105,6,1,1,19
0,106,4,2,2,21
0,107,4,2,2,21
0,108,5,2,2,22
0,109,3,2,2,19
0,110,3,2,2,18
0,111,5,1,1,17
0,112,4,2,2,21
0,113,4,1,1,15
0,114,5,2,2,23
0,115,4,1,1,16
