timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,14.0,20.1629213483,25.0,25
1,1314.10614107,476.515,552.179361208,100.0,0,13,16.0,20.282208589,25.0,25
2,1493.39651943,495.829,611.927872769,100.0,0,13,14.0,20.8641975309,26.0,26
3,1968.25538915,688.886,480.432527836,100.0,0,13,14.0,20.6216216216,26.0,26
4,2287.23694852,843.52,456.17843444,100.0,0,13,13.1,20.8524590164,26.0,26
5,2691.69194656,988.499,480.836488489,100.0,0,13,13.9,20.7537688442,26.0,26
6,2731.94000756,1053.843,491.813583409,100.0,0,13,15.9,21.1675977654,26.0,26
7,2700.66989113,995.224,433.442446664,100.0,0,13,14.0,20.8277777778,25.0,26
8,2495.61293342,893.137,393.85424422,100.0,0,13,15.65,21.1298701299,26.0,26
9,2225.30239771,830.195,375.537830479,100.0,0,13,13.0,20.1301775148,25.0,26
10,2383.43532315,913.469,407.841296243,100.0,0,13,13.0,15.967032967,19.0,20
11,2785.35328995,982.17,136.927103891,100.0,0,13,13.0,16.1918604651,19.0,20
12,2652.04156934,959.497,150.441066091,100.0,45,13,13.0,20.0965909091,25.0,26
13,1984.28280808,709.713,737.218922426,100.0,17,13,14.8,20.1124260355,25.0,25
14,1849.31094961,630.265,936.19261512,100.0,0,13,13.85,19.9438202247,25.0,25
15,1626.48309484,573.844,968.364443442,100.0,0,13,15.0,20.6021505376,25.0,25
16,1899.11230852,688.767,1097.87326191,100.0,0,13,14.0,19.9647058824,25.0,25
17,1662.64437457,630.132,1036.72729197,100.0,0,13,13.0,20.0773480663,25.0,25
18,1698.38119874,652.901,1041.5966403,100.0,0,13,13.85,20.417721519,25.0,25
19,1479.9006609,542.231,893.424356667,100.0,0,13,14.0,20.2427745665,25.0,25
20,1751.28132944,634.166,973.802039636,100.0,0,13,13.0,20.2111111111,25.0,25
21,1714.91122623,635.799,1090.77664566,100.0,0,13,13.0,19.9182389937,25.0,25
22,1594.55570523,588.719,952.682213798,100.0,0,13,14.0,20.0552147239,25.0,25
23,1760.46264794,637.785,1028.28245217,100.0,0,13,14.0,20.347826087,25.0,25
24,1764.46985914,668.648,1049.78244924,100.0,0,0.0,0.0,0.0,0.0,0.0
25,701.620611482,248.925,409.437108344,100.0,0,0.0,0.0,0.0,0.0,0.0
26,204.415108775,75.477,135.558935162,100.0,0,0.0,0.0,0.0,0.0,0.0
27,71.309600795,26.885,47.9476567445,100.0,0,0.0,0.0,0.0,0.0,0.0
28,66.1301468341,24.727,42.4825482606,100.0,0,0.0,0.0,0.0,0.0,0.0
29,8.81044444713,3.218,4.79351997164,100.0,0,0.0,0.0,0.0,0.0,0.0
30,-0.0,0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
