timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.35,16.8515625,20.0,21
1,1234.94283451,364.853,152.427326921,100.0,0,13,13.0,16.5,20.0,21
2,1826.61791556,518.201,240.359587604,100.0,0,13,13.0,16.4417177914,21.0,21
3,2423.15800659,726.674,133.856833283,100.0,0,13,13.0,16.7637795276,20.0,21
4,2062.07366375,614.71,79.8834482119,100.0,0,13,13.0,16.4539473684,20.0,21
5,2366.41807128,764.807,80.7605063231,100.0,0,13,13.0,16.5746268657,20.35,21
6,2388.48509414,771.03,80.6925834463,100.0,0,13,13.0,16.625,20.0,21
7,2172.37389878,693.31,70.077117212,100.0,0,13,13.0,16.8769230769,20.0,21
8,2270.20976391,687.448,74.2380080972,100.0,0,13,13.0,16.3120567376,20.0,21
9,2601.58394926,837.706,86.2497780634,100.0,0,13,13.0,16.4836601307,20.0,21
10,2651.5218432,868.187,91.0197873202,100.0,0,13,13.0,16.5416666667,20.0,21
11,3101.61629383,947.336,37.8246036236,100.0,0,13,13.0,16.6707317073,20.85,21
12,3082.40375754,928.115,66.0278993324,100.0,58,13,13.0,16.6044776119,20.0,21
13,2036.11579519,623.674,230.012347934,100.0,2,13,13.0,16.6206896552,20.0,21
14,1984.94351698,604.396,301.017274677,100.0,0,13,13.0,16.8125,20.0,21
15,1874.97534048,583.019,317.59925752,100.0,0,13,13.0,16.5584415584,20.0,21
16,2024.21632833,588.796,360.880104524,100.0,0,13,13.0,16.5806451613,20.0,21
17,1736.09656552,543.154,351.768835185,100.0,0,13,13.75,16.6985294118,20.0,21
18,1716.28828124,503.136,318.794268973,100.0,0,13,13.0,16.6884057971,20.0,21
19,1598.94870172,488.966,309.447503257,100.0,0,13,13.0,16.5931034483,20.0,21
20,1667.4732864,491.93,336.166270092,100.0,0,13,13.0,16.68,20.0,21
21,1583.35082579,468.968,319.797923843,100.0,0,13,13.0,16.5238095238,20.0,21
22,1432.2215138,443.546,275.589016931,100.0,0,13,13.75,16.7564102564,20.0,21
23,1811.0039852,557.595,319.680898608,100.0,0,13,13.0,16.6293706294,20.0,21
24,1816.406651,568.814,308.587798707,100.0,0,0.0,0.0,0.0,0.0,0.0
25,634.538938692,205.396,113.363325385,100.0,0,0.0,0.0,0.0,0.0,0.0
26,235.000008617,72.374,41.2489577191,100.0,0,0.0,0.0,0.0,0.0,0.0
27,73.9699805924,23.174,13.7030724432,100.0,0,0.0,0.0,0.0,0.0,0.0
28,53.2923239816,17.137,7.93078593963,100.0,0,0.0,0.0,0.0,0.0,0.0
29,17.3234298156,5.375,1.68276661824,100.0,0,0.0,0.0,0.0,0.0,0.0
30,-0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
