timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,17.2110552764,21.0,21
1,689.874,623.844,252.709,100.0,0,13,13.0,17.0301507538,20.0,21
2,839.89,757.886,312.671,100.0,0,13,13.0,16.905982906,21.0,21
3,1150.885,1054.937,300.793,100.0,0,13,13.0,16.786407767,21.0,21
4,1059.459,989.183,247.804,100.0,0,13,13.0,16.987012987,20.0,21
5,1141.399,1060.841,264.108,100.0,0,13,13.0,16.9862385321,21.0,21
6,1220.98,1142.778,267.802,100.0,0,13,13.0,17.3433476395,20.4,21
7,1253.822,1157.342,273.751,100.0,0,13,13.0,17.0594059406,20.0,21
8,1154.063,1072.215,208.408,100.0,0,13,13.0,16.9488372093,20.0,21
9,1127.921,1052.042,248.917,100.0,0,13,13.0,16.9569892473,20.0,21
10,1060.365,988.734,247.125,100.0,0,13,13.0,16.8820512821,20.0,21
11,1309.15,1169.741,94.039,100.0,0,13,13.0,16.7389162562,20.0,21
12,1379.942,1224.515,100.596,100.0,0,13,13.0,16.9852216749,20.0,21
13,1352.247,1166.862,185.631,100.0,66,13,13.0,17.1990521327,21.0,21
14,1085.407,979.915,361.367,100.0,52,13,13.0,17.0242718447,21.0,21
15,858.16,803.963,418.306,100.0,0,13,13.0,17.1333333333,21.0,21
16,787.393,734.123,394.074,100.0,0,13,13.0,16.1865284974,20.0,21
17,792.306,746.021,411.999,100.0,0,13,13.0,16.8923076923,20.3,21
18,815.103,767.149,449.285,100.0,0,13,13.0,17.105,21.0,21
19,845.955,800.019,443.811,100.0,0,13,13.0,17.2077922078,21.0,21
20,1071.817,1007.313,520.382,100.0,0,13,13.0,17.2420091324,21.0,21
21,994.942,928.141,487.16,100.0,0,13,13.0,17.0095238095,21.0,21
22,936.044,878.429,479.96,100.0,0,13,13.0,17.0153061224,21.0,21
23,876.413,825.298,403.943,100.0,0,13,13.0,16.7476635514,20.0,21
24,889.619,844.957,434.198,100.0,0,0.0,0.0,0.0,0.0,0.0
25,295.303,280.54,143.496,100.0,0,0.0,0.0,0.0,0.0,0.0
26,102.704,95.988,47.534,100.0,0,0.0,0.0,0.0,0.0,0.0
27,36.703,35.715,22.582,100.0,0,0.0,0.0,0.0,0.0,0.0
28,5.176,4.555,1.49,100.0,0,0.0,0.0,0.0,0.0,0.0
29,0.0,-0.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
