timeslot,sfc_id,vnf_count,server_count,co_count,path_stretch
7,222,3,1,1,14
7,223,3,2,2,20
7,224,3,2,2,20
7,225,5,1,1,17
7,226,6,2,2,25
7,227,4,1,1,16
7,228,5,1,1,17
7,229,4,1,1,15
7,230,5,1,1,17
7,231,6,2,2,25
7,232,5,2,2,24
7,233,5,2,2,23
7,234,5,2,2,24
7,235,3,1,1,14
7,236,4,1,1,15
7,237,4,2,2,22
7,238,6,2,2,25
7,239,3,2,2,20
7,240,3,1,1,14
7,241,4,1,1,16
7,242,3,2,2,20
7,243,4,1,1,15
7,244,4,1,1,15
7,245,6,2,2,26
7,246,6,2,2,25
7,247,4,2,2,22
7,248,3,2,2,20
7,249,4,2,2,21
7,250,5,2,2,24
7,251,6,2,2,25
7,252,4,2,2,21
7,253,4,1,1,16
7,254,6,1,1,20
7,255,5,1,1,17
8,264,4,2,2,21
8,265,3,2,2,20
8,266,3,2,2,19
8,267,3,2,2,20
8,268,6,1,1,20
8,269,6,2,2,26
8,270,5,2,2,24
8,271,4,1,1,16
8,272,6,2,2,26
8,273,4,2,2,21
8,274,5,2,2,23
8,275,5,2,2,24
8,276,4,2,2,22
8,277,4,2,2,22
8,278,3,1,1,14
8,279,5,1,1,17
8,280,3,1,1,13
8,281,5,2,2,24
8,282,4,1,1,15
8,283,6,2,2,25
8,284,4,2,2,22
8,285,6,1,1,20
8,286,4,2,2,21
8,287,6,2,2,25
8,288,3,2,2,19
8,289,4,2,2,22
8,290,3,2,2,19
8,291,4,1,1,16
8,292,4,1,1,15
8,293,3,2,2,19
8,294,6,2,2,26
8,295,6,2,2,25
8,296,4,1,1,15
8,297,4,1,1,16
9,298,5,2,2,24
9,299,4,2,2,21
9,300,4,2,2,22
9,301,6,2,2,26
9,302,4,2,2,22
9,303,3,2,2,20
9,304,4,1,1,16
9,305,5,2,2,24
9,306,6,1,1,20
9,307,5,2,2,24
9,308,3,1,1,14
9,309,5,1,1,17
9,310,3,2,2,20
9,311,5,2,2,24
9,312,4,2,2,21
9,313,5,1,1,18
9,314,6,2,2,25
9,315,3,2,2,19
9,316,4,2,2,22
9,317,5,2,2,24
9,318,5,2,2,23
9,319,5,1,1,17
9,320,5,2,2,24
9,321,5,2,2,23
9,322,3,2,2,19
9,323,6,2,2,26
9,324,5,2,2,24
9,325,6,1,1,20
9,326,3,1,1,13
9,327,4,2,2,21
9,328,4,2,2,21
9,329,6,2,2,25
9,330,3,2,2,19
9,331,4,1,1,15
9,332,4,1,1,16
9,333,5,1,1,17
9,334,4,1,1,15
9,335,4,2,2,21
9,336,4,1,1,16
9,337,6,2,2,25
9,338,4,2,2,22
10,339,6,1,1,19
10,340,3,1,1,13
10,341,3,1,1,13
10,342,4,1,1,16
10,343,6,1,1,20
10,344,4,1,1,15
10,345,4,1,1,16
10,346,4,1,1,16
10,347,6,1,1,20
10,348,6,1,1,20
10,349,4,1,1,15
10,350,3,1,1,13
10,351,5,1,1,17
10,352,4,1,1,15
10,353,3,1,1,13
10,354,6,1,1,20
10,355,3,1,1,14
10,356,6,1,1,20
10,357,3,1,1,14
10,358,3,1,1,14
10,359,4,1,1,16
10,360,4,1,1,16
10,361,4,1,1,15
10,362,5,1,1,18
10,363,5,1,1,17
10,364,4,1,1,16
10,365,3,1,1,14
10,366,6,1,1,20
10,367,5,1,1,17
10,368,3,1,1,13
10,369,6,1,1,20
10,370,4,1,1,15
10,371,5,1,1,17
10,372,6,1,1,20
11,384,4,1,1,16
11,385,4,1,1,15
11,386,3,1,1,13
11,387,3,1,1,13
11,388,6,1,1,20
11,389,4,1,1,15
11,390,5,1,1,18
11,391,5,1,1,18
11,392,3,1,1,14
11,393,5,1,1,18
11,394,4,1,1,16
11,395,6,1,1,20
11,396,6,1,1,20
11,397,6,1,1,20
11,398,5,1,1,18
11,399,6,1,1,20
11,400,4,1,1,16
11,373,3,1,1,13
11,374,4,1,1,16
11,375,4,1,1,16
11,376,6,1,1,20
11,377,4,1,1,15
11,378,6,1,1,20
11,379,5,1,1,18
11,380,3,1,1,14
11,381,3,1,1,13
11,382,5,1,1,18
11,383,5,1,1,18
12,401,4,2,2,22
12,402,6,1,1,20
12,403,6,2,2,26
12,404,4,2,2,20
12,405,3,2,2,20
12,406,5,2,2,24
12,407,3,1,1,14
12,408,4,1,1,15
12,409,6,1,1,20
12,410,3,1,1,14
12,411,6,1,1,20
12,412,3,2,2,19
12,413,6,2,2,26
12,414,4,1,1,16
12,415,6,2,2,25
12,416,3,2,2,20
12,417,4,2,2,20
12,418,6,1,1,20
12,419,6,2,2,25
12,420,3,2,2,20
12,421,3,1,1,13
12,422,4,2,2,20
12,423,6,2,2,24
12,424,5,1,1,17
12,425,3,1,1,14
12,426,3,1,1,13
12,427,3,1,1,13
12,428,6,1,1,20
12,429,6,2,2,26
12,430,3,1,1,14
12,431,3,2,2,18
12,432,3,1,1,14
12,433,4,1,1,15
12,434,6,1,1,20
12,435,6,1,1,20
12,436,5,2,2,23
12,437,4,1,1,16
12,438,3,1,1,13
12,439,5,1,1,17
12,440,4,1,1,16
12,441,3,2,2,20
12,442,4,2,2,22
13,443,4,2,2,21
13,444,3,2,2,20
13,445,3,1,1,13
13,446,4,2,2,21
13,447,5,2,2,23
13,448,4,2,2,20
13,449,6,2,2,25
13,450,6,2,2,25
13,451,4,2,2,20
13,452,5,2,2,23
13,453,3,1,1,13
13,454,6,1,1,20
13,455,3,2,2,20
13,456,3,2,2,18
13,457,5,2,2,23
13,458,3,2,2,18
13,459,3,2,2,19
13,460,6,2,2,25
13,461,6,2,2,25
13,462,3,2,2,18
13,463,3,2,2,19
13,464,5,2,2,22
13,465,4,2,2,21
13,466,3,1,1,13
13,467,3,1,1,13
13,468,6,1,1,20
13,469,3,2,2,19
13,470,5,2,2,22
13,471,6,2,2,24
13,472,5,2,2,23
13,473,3,2,2,20
13,474,6,2,2,25
13,475,3,1,1,14
13,476,5,1,1,18
13,477,4,2,2,21
13,478,4,2,2,21
13,479,3,2,2,18
13,480,5,2,2,23
13,481,5,1,1,17
13,482,5,2,2,24
13,483,5,1,1,17
13,484,5,2,2,23
13,485,6,2,2,25
14,512,4,1,1,16
14,513,6,2,2,25
14,514,5,1,1,17
14,515,6,2,2,25
14,516,4,2,2,21
14,517,5,2,2,23
14,486,3,1,1,14
14,487,4,1,1,15
14,488,4,2,2,21
14,489,3,2,2,19
14,490,3,2,2,19
14,491,3,1,1,13
14,492,3,2,2,19
14,493,3,1,1,13
14,494,3,2,2,19
14,495,6,2,2,25
14,496,6,2,2,25
14,497,5,2,2,23
14,498,3,1,1,14
14,499,6,2,2,25
14,500,4,2,2,21
14,501,6,2,2,25
14,502,4,2,2,20
14,503,5,1,1,18
14,504,4,1,1,16
14,505,6,2,2,25
14,506,5,1,1,18
14,507,3,1,1,14
14,508,4,1,1,16
14,509,5,1,1,17
14,510,6,1,1,20
14,511,6,2,2,25
15,518,5,2,2,22
15,519,3,2,2,19
15,520,4,1,1,15
15,521,4,1,1,16
15,522,5,1,1,17
15,523,6,1,1,20
15,524,5,2,2,22
15,525,6,2,2,25
15,526,4,2,2,20
15,527,4,2,2,21
15,528,3,1,1,14
15,529,3,2,2,18
15,530,4,2,2,21
15,531,4,1,1,16
15,532,4,2,2,20
15,533,4,1,1,15
15,534,6,2,2,25
15,535,5,2,2,23
15,536,6,1,1,20
15,537,4,1,1,16
15,538,4,2,2,20
15,539,3,1,1,13
15,540,4,1,1,15
15,541,5,2,2,23
15,542,6,2,2,25
15,543,4,2,2,20
15,544,4,1,1,16
15,545,3,2,2,18
15,546,6,1,1,20
15,547,3,2,2,19
15,548,5,2,2,23
15,549,5,2,2,23
15,550,5,1,1,17
15,551,6,2,2,25
15,552,5,1,1,18
15,553,4,1,1,15
15,554,4,2,2,20
15,555,5,2,2,22
15,556,5,1,1,17
16,557,4,1,1,16
16,558,6,2,2,24
16,559,6,2,2,25
16,560,3,1,1,13
16,561,3,2,2,19
16,562,4,1,1,15
16,563,4,1,1,15
16,564,4,2,2,21
16,565,4,2,2,21
16,566,6,2,2,25
16,567,5,2,2,23
16,568,4,2,2,21
16,569,6,2,2,24
16,570,5,2,2,23
16,571,6,1,1,20
16,572,5,1,1,17
16,573,4,1,1,15
16,574,3,2,2,19
16,575,5,2,2,22
16,576,4,1,1,16
16,577,6,2,2,25
16,578,5,1,1,17
16,579,3,2,2,19
16,580,5,1,1,17
16,581,3,1,1,13
16,582,5,2,2,22
16,583,4,1,1,16
17,584,4,2,2,21
17,585,5,1,1,18
17,586,6,1,1,20
17,587,4,2,2,21
17,588,4,2,2,21
17,589,3,2,2,18
17,590,3,2,2,19
17,591,3,2,2,19
17,592,5,2,2,22
17,593,5,2,2,23
17,594,4,2,2,21
17,595,3,1,1,13
17,596,6,2,2,25
17,597,6,2,2,24
17,598,3,2,2,19
17,599,6,1,1,20
17,600,5,2,2,23
17,601,3,1,1,14
17,602,3,2,2,19
17,603,6,2,2,25
17,604,3,1,1,14
17,605,4,1,1,15
17,606,4,1,1,15
17,607,6,2,2,25
17,608,5,2,2,23
17,609,3,1,1,14
17,610,6,2,2,25
17,611,4,2,2,20
17,612,5,2,2,23
17,613,5,2,2,23
17,614,3,2,2,19
17,615,3,2,2,19
17,616,4,2,2,20
17,617,6,2,2,24
18,640,4,2,2,21
18,641,3,1,1,14
18,642,3,2,2,19
18,643,4,2,2,21
18,644,6,2,2,25
18,645,4,2,2,21
18,646,4,1,1,15
18,647,4,2,2,20
18,648,5,1,1,17
18,649,5,2,2,23
18,650,3,1,1,14
18,651,3,2,2,19
18,652,5,2,2,23
18,653,4,1,1,15
18,618,3,2,2,18
18,619,6,2,2,25
18,620,6,2,2,25
18,621,3,2,2,19
18,622,3,2,2,19
18,623,5,2,2,23
18,624,5,1,1,17
18,625,4,1,1,15
18,626,5,2,2,22
18,627,4,1,1,16
18,628,6,2,2,24
18,629,4,1,1,16
18,630,5,2,2,23
18,631,5,2,2,22
18,632,4,1,1,16
18,633,5,2,2,22
18,634,4,2,2,21
18,635,4,1,1,15
18,636,6,1,1,20
18,637,4,2,2,21
18,638,6,2,2,25
18,639,6,1,1,20
19,654,4,2,2,20
19,655,6,2,2,25
19,656,4,1,1,15
19,657,3,2,2,18
19,658,6,1,1,20
19,659,4,2,2,21
19,660,5,2,2,23
19,661,4,2,2,21
19,662,5,2,2,23
19,663,6,2,2,25
19,664,4,2,2,21
19,665,4,1,1,15
19,666,6,2,2,24
19,667,3,2,2,19
19,668,4,2,2,21
19,669,5,2,2,23
19,670,4,2,2,21
19,671,6,2,2,25
19,672,5,2,2,23
19,673,5,2,2,23
19,674,5,1,1,17
19,675,3,2,2,19
