timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,17.2307692308,21.0,21
1,789.386855801,231.022,84.5589867268,100.0,0,13,13.4,17.4347826087,21.0,21
2,1030.78712414,291.244,113.234388985,100.0,0,13,13.0,17.5333333333,21.0,21
3,1131.48954799,323.727,72.2720374161,100.0,0,13,14.0,17.4590163934,21.0,21
4,1183.19026274,354.522,52.0641308521,100.0,0,13,13.0,16.7945205479,21.0,21
5,1152.80487867,351.567,38.3175896743,100.0,0,13,14.0,17.3289473684,21.0,21
6,1439.83325307,452.624,46.5799000328,100.0,0,13,15.0,18.3246753247,21.0,21
7,1381.43489186,437.615,43.2061109394,100.0,0,13,15.0,17.2857142857,20.0,21
8,1178.51573686,348.342,34.7231696608,100.0,0,13,13.0,16.9125,21.0,21
9,1430.37440932,421.434,45.4058579363,100.0,0,13,13.4,17.5538461538,21.0,21
10,1346.37483425,387.757,39.937936006,100.0,0,13,14.15,17.1875,21.0,21
11,1405.20816251,401.667,19.0457726353,100.0,0,13,14.0,17.2307692308,21.0,21
12,1418.67698401,430.666,31.5001274795,100.0,18,13,14.0,16.9848484848,21.0,21
13,1097.50381126,326.135,85.7551469106,100.0,1,13,15.0,17.4805194805,21.0,21
14,1053.16279311,305.907,141.336568736,100.0,0,13,14.0,17.0563380282,21.0,21
15,1101.42921146,310.641,141.784382115,100.0,0,13,14.0,17.4375,21.0,21
16,813.830319828,226.197,131.870269175,100.0,0,13,13.0,17.141025641,21.0,21
17,1158.61489981,330.941,177.505014615,100.0,0,13,14.05,16.9838709677,21.0,21
18,872.983590865,247.211,133.599845142,100.0,0,13,14.2,17.2705882353,21.0,21
19,1037.50324474,296.743,180.544292059,100.0,0,13,14.0,17.6625,21.0,21
20,1100.66759138,311.572,183.660038155,100.0,0,13,14.0,17.2368421053,21.0,21
21,996.822706884,280.985,136.76018673,100.0,0,13,14.0,17.3538461538,21.0,21
22,955.652763076,276.794,158.594055116,100.0,0,13,13.05,17.0967741935,21.0,21
23,960.423418456,294.292,167.315175021,100.0,0,13,15.0,17.5,21.0,21
24,1084.79593312,332.423,205.180494284,100.0,0,0.0,0.0,0.0,0.0,0.0
25,488.939086868,144.09,87.962756956,100.0,0,0.0,0.0,0.0,0.0,0.0
26,188.312204051,54.571,29.5733928411,100.0,0,0.0,0.0,0.0,0.0,0.0
27,60.5426779958,16.969,9.22729287876,100.0,0,0.0,0.0,0.0,0.0,0.0
28,18.3854478856,5.375,1.65398879956,100.0,0,0.0,0.0,0.0,0.0,0.0
29,18.1941991883,5.375,1.68122148928,100.0,0,0.0,0.0,0.0,0.0,0.0
30,17.9766369772,5.375,1.68733574526,100.0,0,0.0,0.0,0.0,0.0,0.0
31,-0.0,-0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
