timeslot,sfc_id,vnf_count,server_count,co_count,path_stretch
0,0,6,2,2,25
0,1,6,1,1,20
0,2,3,2,2,20
0,3,5,1,1,18
0,4,4,2,2,20
0,5,4,2,2,20
0,6,4,2,2,20
0,7,3,2,2,18
0,8,6,2,2,26
0,9,3,2,2,20
0,10,5,2,2,23
0,11,5,2,2,22
0,12,6,2,2,25
0,13,3,2,2,18
0,14,3,2,2,18
0,15,4,2,2,22
0,16,6,2,2,24
0,17,4,2,2,20
0,18,3,2,2,20
0,19,6,2,2,24
0,20,4,2,2,22
0,21,6,1,1,21
0,22,3,2,2,20
0,23,5,2,2,24
0,24,6,2,2,26
0,25,6,2,2,26
0,26,5,2,2,23
0,27,3,2,2,20
0,28,4,2,2,22
0,29,6,1,1,20
0,30,3,2,2,20
0,31,4,2,2,22
0,32,5,2,2,24
0,33,5,1,1,18
0,34,4,2,2,21
0,35,3,1,1,15
0,36,6,2,2,26
0,37,6,2,2,25
0,38,5,1,1,18
0,39,6,2,2,24
0,40,6,2,2,26
0,41,5,1,1,19
0,42,3,2,2,18
0,43,4,2,2,22
0,44,4,2,2,22
0,45,3,1,1,15
0,46,6,1,1,21
0,47,5,2,2,22
0,48,3,2,2,18
0,49,6,2,2,25
0,50,3,2,2,18
0,51,6,1,1,21
0,52,6,2,2,25
0,53,3,1,1,15
0,54,6,1,1,20
0,55,6,1,1,21
0,56,5,2,2,23
0,57,5,1,1,18
0,58,5,2,2,22
0,59,3,2,2,20
0,60,5,2,2,23
0,61,5,2,2,22
0,62,5,2,2,22
0,63,3,2,2,20
0,64,5,2,2,23
0,65,6,2,2,24
0,66,3,2,2,19
0,67,6,1,1,21
0,68,3,2,2,18
0,69,5,1,1,18
0,70,4,2,2,20
0,71,4,2,2,22
0,72,4,2,2,22
0,73,3,2,2,20
0,74,3,1,1,15
0,75,6,2,2,24
0,76,3,1,1,15
0,77,4,2,2,20
1,128,4,1,1,16
1,129,5,2,2,22
1,130,5,2,2,23
1,131,6,1,1,21
1,132,4,2,2,21
1,133,5,2,2,24
1,134,6,2,2,24
1,135,6,2,2,24
1,136,5,1,1,19
1,137,4,2,2,21
1,138,5,2,2,22
1,139,6,2,2,24
1,140,6,2,2,24
1,141,5,1,1,18
1,142,3,1,1,15
1,143,5,2,2,22
1,144,3,2,2,20
1,145,6,2,2,25
1,146,6,2,2,24
1,78,5,1,1,19
1,79,3,2,2,18
1,80,6,2,2,24
1,81,4,2,2,22
1,82,5,2,2,23
1,83,5,1,1,18
1,84,5,1,1,18
1,85,5,1,1,18
1,86,6,1,1,21
1,87,6,2,2,26
1,88,3,2,2,20
1,89,6,2,2,25
1,90,3,2,2,20
1,91,3,2,2,18
1,92,3,2,2,20
1,93,5,2,2,24
1,94,6,2,2,25
1,95,3,2,2,19
1,96,3,1,1,15
1,97,6,2,2,26
1,98,3,2,2,18
1,99,4,1,1,17
1,100,4,2,2,20
1,101,3,2,2,20
1,102,6,1,1,21
1,103,4,2,2,22
1,104,4,2,2,22
1,105,3,2,2,20
1,106,4,2,2,20
1,107,6,2,2,25
1,108,6,1,1,20
1,109,5,2,2,23
1,110,3,1,1,15
1,111,6,2,2,26
1,112,4,2,2,21
1,113,6,2,2,24
1,114,5,1,1,19
1,115,5,2,2,23
1,116,3,2,2,18
1,117,4,2,2,21
1,118,5,2,2,23
1,119,3,2,2,19
1,120,4,1,1,16
1,121,6,1,1,21
1,122,6,2,2,24
1,123,6,2,2,24
1,124,3,2,2,20
1,125,6,2,2,26
1,126,3,1,1,15
1,127,5,2,2,22
2,147,6,1,1,21
2,148,6,1,1,21
2,149,4,2,2,21
2,150,5,2,2,22
2,151,3,2,2,20
2,152,6,2,2,25
2,153,5,1,1,19
2,154,3,2,2,20
2,155,5,2,2,24
2,156,6,2,2,24
2,157,4,2,2,21
2,158,6,1,1,21
2,159,5,2,2,23
2,160,6,2,2,24
2,161,6,1,1,21
2,162,4,1,1,17
2,163,4,2,2,22
2,164,4,2,2,22
2,165,4,2,2,22
2,166,3,1,1,15
2,167,4,2,2,22
2,168,5,2,2,23
2,169,5,2,2,24
2,170,6,2,2,25
2,171,5,1,1,19
2,172,4,2,2,22
2,173,6,1,1,21
2,174,4,1,1,17
2,175,4,2,2,20
2,176,4,2,2,20
2,177,6,2,2,25
2,178,4,1,1,17
2,179,6,2,2,25
2,180,4,2,2,20
2,181,3,2,2,18
2,182,3,1,1,15
2,183,4,2,2,20
2,184,5,2,2,23
2,185,6,1,1,21
2,186,6,1,1,21
2,187,3,2,2,20
2,188,4,2,2,22
2,189,3,2,2,19
2,190,6,1,1,21
2,191,5,2,2,24
2,192,6,1,1,21
2,193,3,1,1,15
2,194,6,2,2,24
2,195,3,2,2,18
2,196,3,2,2,20
2,197,3,2,2,19
2,198,3,2,2,19
2,199,6,2,2,24
2,200,6,2,2,25
2,201,5,2,2,24
2,202,5,2,2,23
2,203,5,2,2,24
2,204,6,2,2,25
2,205,6,2,2,25
2,206,5,2,2,22
3,256,3,1,1,15
3,257,5,1,1,19
3,258,5,2,2,24
3,259,6,2,2,26
3,260,5,2,2,23
3,261,6,1,1,21
3,262,6,1,1,21
3,263,5,1,1,19
3,264,4,2,2,21
3,265,6,1,1,21
3,266,5,2,2,24
3,267,6,2,2,25
3,207,5,2,2,24
3,208,4,2,2,22
3,209,4,2,2,22
3,210,5,2,2,23
3,211,5,1,1,19
3,212,6,2,2,24
3,213,4,1,1,17
3,214,3,2,2,20
3,215,6,2,2,26
3,216,6,1,1,21
3,217,4,2,2,21
3,218,6,2,2,24
3,219,3,1,1,15
3,220,3,2,2,20
3,221,3,2,2,20
3,222,4,2,2,20
3,223,3,1,1,15
3,224,4,2,2,21
3,225,6,2,2,25
3,226,4,2,2,21
3,227,3,2,2,20
3,228,6,2,2,25
3,229,5,2,2,24
3,230,3,2,2,20
3,231,5,2,2,23
3,232,6,2,2,25
3,233,4,2,2,22
3,234,6,1,1,21
3,235,3,1,1,15
3,236,4,2,2,21
3,237,5,2,2,23
3,238,4,2,2,20
3,239,6,2,2,26
3,240,3,2,2,18
3,241,5,2,2,23
3,242,4,2,2,21
3,243,5,2,2,24
3,244,4,2,2,20
3,245,4,1,1,17
3,246,3,2,2,19
3,247,6,1,1,21
3,248,5,2,2,24
3,249,5,2,2,22
3,250,6,2,2,25
3,251,5,2,2,22
3,252,3,2,2,20
3,253,6,2,2,24
3,254,5,2,2,23
3,255,5,2,2,24
4,268,3,1,1,15
4,269,4,2,2,20
4,270,4,2,2,21
4,271,5,2,2,22
4,272,6,2,2,24
4,273,6,2,2,24
4,274,5,2,2,22
4,275,5,2,2,23
4,276,4,2,2,21
4,277,5,2,2,23
4,278,3,1,1,15
4,279,5,1,1,19
4,280,5,2,2,23
4,281,3,2,2,19
4,282,3,1,1,15
4,283,3,2,2,20
4,284,5,2,2,22
4,285,5,2,2,22
4,286,3,1,1,15
4,287,3,2,2,19
4,288,3,1,1,15
4,289,6,2,2,24
4,290,6,2,2,25
4,291,5,1,1,19
4,292,4,2,2,22
4,293,6,1,1,21
4,294,3,1,1,15
4,295,6,2,2,25
4,296,3,2,2,20
4,297,4,1,1,17
4,298,3,1,1,15
4,299,3,1,1,15
4,300,4,2,2,21
4,301,6,1,1,21
4,302,4,1,1,17
4,303,4,2,2,21
4,304,6,2,2,25
4,305,6,1,1,21
4,306,5,2,2,23
4,307,6,2,2,25
4,308,5,2,2,23
4,309,3,1,1,15
4,310,3,2,2,20
4,311,3,2,2,18
4,312,5,2,2,23
4,313,4,2,2,21
4,314,4,2,2,22
4,315,3,2,2,20
4,316,4,2,2,22
4,317,3,2,2,20
4,318,3,1,1,15
4,319,6,1,1,21
4,320,4,1,1,17
4,321,3,2,2,20
4,322,3,1,1,15
4,323,4,2,2,21
4,324,4,2,2,22
4,325,6,2,2,24
4,326,5,2,2,23
4,327,5,1,1,19
4,328,3,1,1,15
4,329,4,2,2,21
4,330,6,2,2,24
4,331,6,1,1,21
4,332,5,2,2,24
4,333,3,2,2,20
4,334,5,2,2,24
4,335,4,2,2,21
4,336,3,2,2,20
4,337,5,2,2,23
4,338,4,2,2,21
4,339,3,2,2,20
4,340,5,1,1,19
5,384,5,2,2,22
5,385,6,2,2,26
5,386,5,2,2,24
5,387,5,1,1,19
5,388,5,2,2,23
5,389,5,1,1,19
5,390,5,2,2,23
5,391,3,1,1,15
5,392,6,2,2,25
5,393,6,2,2,25
5,394,3,2,2,20
5,395,6,2,2,26
5,396,6,2,2,26
5,397,5,2,2,24
5,398,5,2,2,24
5,399,3,1,1,15
5,400,4,2,2,21
5,401,4,1,1,17
5,402,4,2,2,20
5,403,6,1,1,21
5,404,5,2,2,24
5,405,4,2,2,21
5,406,4,1,1,17
5,407,6,2,2,24
5,408,4,2,2,22
5,409,4,2,2,20
5,410,4,2,2,20
5,411,6,2,2,26
5,412,4,1,1,17
5,413,3,2,2,19
5,414,6,2,2,24
5,415,3,2,2,20
5,416,3,2,2,20
5,341,6,1,1,21
5,342,5,2,2,24
5,343,5,1,1,19
5,344,3,2,2,19
5,345,5,2,2,23
5,346,4,2,2,21
5,347,5,1,1,19
5,348,6,2,2,26
5,349,5,1,1,19
5,350,3,2,2,20
5,351,6,2,2,25
5,352,3,1,1,15
5,353,5,1,1,19
5,354,4,2,2,22
5,355,3,2,2,20
5,356,5,2,2,22
5,357,6,1,1,21
5,358,3,2,2,20
5,359,5,2,2,23
5,360,6,1,1,21
5,361,3,2,2,19
5,362,3,2,2,20
5,363,3,1,1,15
5,364,6,1,1,21
5,365,3,1,1,15
5,366,4,2,2,22
5,367,4,1,1,17
5,368,6,2,2,25
5,369,3,2,2,19
5,370,4,2,2,22
5,371,5,2,2,23
