timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,15,15.0,21.0128205128,26.0,26
1,681.533993024,215.182,237.338435136,100.0,0,15,15.4,21.0579710145,25.6,26
2,845.953162421,273.919,308.590538902,100.0,0,15,16.9,21.2833333333,25.0,25
3,893.168144292,304.76,221.664586078,100.0,0,15,15.0,21.4918032787,25.0,26
4,940.637102942,334.569,184.037895328,100.0,0,15,15.0,20.3424657534,24.4,25
5,993.264009604,334.581,147.411103789,100.0,0,15,15.0,21.1052631579,26.0,26
6,1172.3897227,431.69,183.855642231,100.0,0,15,15.0,21.2467532468,25.0,26
7,1202.76458446,419.802,156.919054773,100.0,0,15,15.0,21.7,26.0,26
8,928.238868749,333.006,133.29416642,100.0,0,15,15.0,20.8125,25.05,26
9,1094.99283258,399.672,181.218580662,100.0,0,15,15.0,20.9076923077,25.0,26
10,1076.43065394,367.644,165.57198506,100.0,0,13,14.15,17.1875,21.0,21
11,1114.09871808,390.291,86.1961463099,100.0,0,13,14.0,17.2307692308,21.0,21
12,1263.66174498,426.053,87.0281198849,100.0,18,14,14.25,20.7878787879,26.0,27
13,984.218430787,315.635,233.775549335,100.0,6,14,15.8,21.0909090909,25.0,26
14,810.466962374,286.502,370.556004067,100.0,0,14,15.5,20.7887323944,25.5,26
15,822.435371113,287.744,376.670088427,100.0,0,15,16.0,20.875,24.85,26
16,619.198741209,211.025,329.790435089,100.0,0,16,16.0,20.9871794872,26.0,26
17,895.572543244,306.19,467.677351103,100.0,0,14,15.0,20.3709677419,24.0,26
18,651.119463677,228.731,340.033443726,100.0,0,14,15.0,20.2705882353,26.0,26
19,798.06169831,276.448,439.975097826,100.0,0,14,16.0,21.2875,26.0,26
20,875.016335964,290.287,444.631720799,100.0,0,14,16.0,21.3157894737,25.25,26
21,728.081791119,259.205,375.384574219,100.0,0,14,15.2,20.6615384615,25.0,26
22,753.094830417,256.169,395.354391344,100.0,0,14,15.0,20.6451612903,25.95,26
23,762.602885831,272.842,428.659391146,100.0,0,14,16.0,20.75,26.0,26
24,928.439258045,307.343,522.209901976,100.0,0,0.0,0.0,0.0,0.0,0.0
25,383.380800764,133.365,217.539449694,100.0,0,0.0,0.0,0.0,0.0,0.0
26,143.596946851,49.621,76.2271821809,100.0,0,0.0,0.0,0.0,0.0,0.0
27,45.1117659583,14.989,24.6563000314,100.0,0,0.0,0.0,0.0,0.0,0.0
28,13.2685150904,4.715,5.39107404362,100.0,0,0.0,0.0,0.0,0.0,0.0
29,14.0212664134,4.715,5.39664325755,100.0,0,0.0,0.0,0.0,0.0,0.0
30,13.3844427466,4.715,5.39166799508,100.0,0,0.0,0.0,0.0,0.0,0.0
31,-0.0,-0.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
