timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,16.9662447257,22.0,35
1,443.495,377.423,654.316,100.0,0,13,13.0,17.2600896861,22.0,35
2,610.746,519.558,902.85,100.0,0,13,13.0,17.0974576271,22.0,25
3,775.44,682.27,834.191,100.0,0,13,14.0,17.4723404255,22.3,25
4,744.517,660.201,708.027,100.0,0,13,13.0,17.1968503937,22.0,25
5,875.255,778.068,822.545,100.0,0,13,13.0,17.2550607287,22.0,25
6,918.276,817.404,844.909,100.0,0,13,13.0,16.8583333333,22.0,25
7,876.131,780.175,804.093,100.0,0,13,13.0,16.9612068966,21.0,25
8,856.763,763.728,777.934,100.0,0,13,13.0,17.1115879828,22.0,25
9,856.068,761.933,793.377,100.0,0,13,13.0,17.1680327869,21.0,25
10,873.44,778.182,804.762,100.0,0,13,13.0,16.4680851064,20.0,21
11,1215.2,1139.712,277.35,100.0,142,15,16.0,21.704,27.55,32
12,921.139,818.344,806.376,100.0,0,14,15.0,19.587755102,26.0,30
13,874.049,752.851,1052.729,100.0,82,14,15.0,22.6861924686,31.0,36
14,692.452,611.254,1338.492,100.0,15,13,13.0,17.3536585366,20.0,31
15,590.349,526.704,1346.273,100.0,0,13,13.0,17.3925619835,20.0,31
16,615.727,551.81,1490.884,100.0,0,13,13.0,17.2058823529,20.0,31
17,545.546,488.934,1333.61,100.0,0,13,13.0,17.1219512195,20.0,31
18,588.541,528.818,1456.592,100.0,0,13,13.0,17.9060150376,24.0,31
19,642.426,577.654,1601.118,100.0,0,13,13.0,17.2991803279,21.0,31
20,626.7,564.194,1560.363,100.0,0,13,13.0,17.2145922747,20.0,31
21,622.021,559.43,1542.46,100.0,0,13,13.0,17.5311004785,21.0,31
22,556.247,499.398,1383.265,100.0,0,13,13.0,17.2123552124,20.0,31
23,594.72,535.115,1482.367,100.0,0,13,13.0,17.235059761,20.0,31
24,649.532,584.129,1599.852,100.0,0,0.0,0.0,0.0,0.0,0.0
25,220.673,198.19,546.802,100.0,0,0.0,0.0,0.0,0.0,0.0
26,81.89,73.598,204.871,100.0,0,0.0,0.0,0.0,0.0,0.0
27,32.003,28.905,81.582,100.0,0,0.0,0.0,0.0,0.0,0.0
28,17.393,15.617,43.418,100.0,0,0.0,0.0,0.0,0.0,0.0
29,9.819,8.802,24.691,100.0,0,0.0,0.0,0.0,0.0,0.0
30,5.043,4.486,12.812,100.0,0,0.0,0.0,0.0,0.0,0.0
31,2.449,2.158,6.736,100.0,0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
