timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,17.6724137931,22.0,29
1,2250.52599767,636.52,1162.14682712,100.0,0,13,13.0,17.591954023,22.0,29
2,2992.01612379,828.226,1458.79998086,100.0,0,13,13.0,17.8081081081,23.0,25
3,3721.7268462,1024.683,1260.77048634,100.0,0,13,14.0,18.0055096419,23.0,24
4,4084.59297778,1126.489,1216.19017251,100.0,0,13,13.0,17.5253731343,22.0,25
5,3929.99121077,1107.94,1149.7243175,100.0,0,13,14.0,17.7823529412,23.0,25
6,3785.06515114,1119.88,1123.12275186,100.0,0,13,13.0,17.7318611987,23.0,25
7,3867.04550867,1087.903,1105.04113837,100.0,0,13,13.0,17.4542772861,23.0,25
8,3932.8400763,1122.102,1144.49769665,100.0,0,13,13.0,17.5047318612,21.0,25
9,3634.78351172,1091.623,1095.86032089,100.0,0,13,13.0,17.5552325581,23.0,25
10,4223.12130615,1266.958,1273.03649677,100.0,0,13,13.0,16.9335180055,21.0,21
11,6503.50240714,1895.417,556.901339677,100.0,219,15,16.0,21.5643274854,26.95,35
12,4283.5242582,1238.135,1245.7979595,100.0,0,13,14.25,19.4869281046,28.0,33
13,3431.01928945,953.51,1311.16590855,100.0,130,13,14.0,21.5410764873,30.4,38
14,2616.81031889,788.841,1775.69655262,100.0,9,13,14.0,17.9373219373,26.0,28
15,2736.24783379,802.078,2047.59403928,100.0,0,13,14.0,17.4969879518,23.0,27
16,2420.34737748,709.873,1969.01317951,100.0,0,13,13.0,17.8724035608,26.0,28
17,2346.41783012,703.763,1901.8965333,100.0,0,13,13.0,17.9653179191,26.0,28
18,2502.3651481,722.653,1994.7059827,100.0,0,13,14.0,17.9008498584,25.4,28
19,2663.47880098,746.281,2061.91174128,100.0,0,13,13.0,18.1323529412,26.0,28
20,2609.62424558,757.929,2074.02212354,100.0,0,13,13.0,17.8555240793,25.0,27
21,2642.39574595,788.073,2186.07481134,100.0,0,13,14.0,18.2150537634,26.0,28
22,2815.3434958,794.607,2274.06459918,100.0,0,13,13.0,17.7706185567,26.0,28
23,2962.52343464,840.256,2347.49892905,100.0,0,13,14.0,18.1895043732,26.0,28
24,2753.57534364,793.925,2178.88310586,100.0,0,0.0,0.0,0.0,0.0,0.0
25,980.745608341,292.694,804.327858312,100.0,0,0.0,0.0,0.0,0.0,0.0
26,323.759255746,93.708,258.100013305,100.0,0,0.0,0.0,0.0,0.0,0.0
27,96.9688785936,27.091,72.8692572906,100.0,0,0.0,0.0,0.0,0.0,0.0
28,37.4894568176,11.302,31.8592043908,100.0,0,0.0,0.0,0.0,0.0,0.0
29,8.35146293055,2.329,6.30652306325,100.0,0,0.0,0.0,0.0,0.0,0.0
30,0.0,-0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
