timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,15.0,20.256281407,25.0,26
1,502.446645,589.707,630.279296875,100.0,0,13,15.0,20.3065326633,25.0,26
2,609.373755,714.018,784.6796875,100.0,0,13,15.0,19.4188034188,24.0,26
3,851.909355,1015.281,761.53515625,100.0,0,13,15.0,19.8349514563,25.0,26
4,788.30037,956.461,660.73828125,100.0,0,13,15.0,20.0346320346,25.0,26
5,847.300995,1024.369,708.490234375,100.0,0,13,15.0,20.0366972477,25.0,26
6,907.589115,1104.472,721.11328125,100.0,0,13,15.0,20.0944206009,25.0,26
7,934.884315,1122.968,712.484375,100.0,0,13,15.0,20.2673267327,25.0,26
8,857.26206,1036.818,585.6875,100.0,0,13,15.0,19.6976744186,25.0,26
9,838.58994,1017.268,657.95703125,100.0,0,13,15.0,19.5268817204,25.0,26
10,787.7511,954.62,648.353515625,100.0,0,13,13.0,16.8820512821,20.0,21
11,991.76589,1155.474,254.783203125,100.0,0,13,13.0,16.7389162562,20.0,21
12,1050.96006,1217.801,232.515625,100.0,1,13,15.0,20.7093596059,26.0,26
13,1002.7467,1130.459,522.259765625,100.0,78,13,15.0,21.0995260664,25.0,26
14,774.375075,912.941,966.19921875,100.0,48,13,15.0,20.1116504854,25.0,26
15,620.238285,755.589,1013.04101562,100.0,0,13,15.0,20.4722222222,25.0,26
16,570.69306,692.272,943.9140625,100.0,0,13,15.0,19.6943005181,24.4,26
17,569.79954,697.578,1002.47265625,100.0,0,13,14.7,20.1794871795,25.0,26
18,588.763125,720.361,1072.09765625,100.0,0,13,15.0,20.165,24.0,26
19,612.228735,752.202,1063.59960938,100.0,0,13,15.0,20.4199134199,25.0,26
20,776.11545,948.112,1262.29882812,100.0,0,13,15.0,20.6255707763,25.0,26
21,717.367275,870.59,1185.5078125,100.0,0,14,15.0,20.2333333333,24.0,26
22,674.952615,824.344,1161.55078125,100.0,0,13,15.0,20.5306122449,25.0,26
23,627.49125,769.059,1016.5625,100.0,0,13,15.0,20.2102803738,24.35,26
24,636.92523,786.25,1085.21875,100.0,0,0.0,0.0,0.0,0.0,0.0
25,210.22047,259.43,362.052734375,100.0,0,0.0,0.0,0.0,0.0,0.0
26,73.749825,89.721,117.484375,100.0,0,0.0,0.0,0.0,0.0,0.0
27,26.534025,33.571,52.533203125,100.0,0,0.0,0.0,0.0,0.0,0.0
28,3.95964,4.555,2.91015625,100.0,0,0.0,0.0,0.0,0.0,0.0
29,-0.0,-0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
