timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,14.0,17.936026936,24.0,33
1,1783.08334467,508.124,854.671416459,100.0,0,13,13.0,18.1186440678,26.0,33
2,2264.25897195,632.115,1085.84744077,100.0,0,13,14.0,17.7195945946,22.0,23
3,3109.40236733,850.777,997.069412159,100.0,0,13,15.0,18.1875,22.0,24
4,3133.84309914,912.792,950.099846887,100.0,0,13,14.0,17.654676259,22.0,23
5,2918.50171932,859.253,847.670903855,100.0,0,13,14.0,17.731292517,22.0,23
6,3309.00024538,915.887,926.374821186,100.0,0,13,13.0,17.7189781022,22.0,22
7,3033.4913139,911.125,910.427841131,100.0,0,13,14.0,17.6236933798,22.0,23
8,3173.2736935,898.418,882.218948853,100.0,0,13,14.0,17.6758893281,21.4,23
9,3049.33017776,869.038,869.989566561,100.0,0,13,14.0,17.9846153846,22.0,23
10,3119.80301575,900.708,916.543384388,100.0,0,14,14.0,17.4748201439,21.0,21
11,4906.0168021,1437.322,310.897539116,100.0,177,16,16.0,21.6319444444,30.65,35
12,3561.2943705,1034.295,994.51241315,100.0,0,14,15.0,19.7680608365,30.0,36
13,3226.20092638,894.561,1193.4606856,100.0,87,14,15.0,22.5461254613,31.0,36
14,2537.24359607,717.922,1537.09941873,100.0,8,13,14.0,18.8587360595,27.0,32
15,2465.89845822,684.014,1719.08080952,100.0,0,13,13.45,18.462962963,27.0,33
16,2350.44158888,687.9,1764.78090159,100.0,0,13,14.0,19.0263157895,27.0,32
17,2236.90702953,660.885,1779.64099258,100.0,0,13,14.0,19.0575539568,27.0,33
18,2174.99710848,629.271,1647.95219162,100.0,0,13,14.0,18.5118644068,27.0,33
19,2223.38055973,654.184,1705.37631381,100.0,0,13,14.0,18.9211469534,27.0,33
20,2141.21264995,639.562,1719.86400659,100.0,0,13,14.0,19.24,27.0,32
21,2137.1328578,643.02,1681.75425246,100.0,0,13,14.0,18.8273615635,27.0,32
22,2549.55964667,715.983,1871.47750779,100.0,0,13,14.0,18.2330827068,27.0,32
23,2369.92190494,660.708,1771.50438236,100.0,0,13,14.0,18.7591240876,27.35,33
24,2252.4965084,662.788,1772.518065,100.0,0,0.0,0.0,0.0,0.0,0.0
25,845.954977481,249.225,643.053014821,100.0,0,0.0,0.0,0.0,0.0,0.0
26,326.104600424,93.68,253.849667395,100.0,0,0.0,0.0,0.0,0.0,0.0
27,160.373372306,44.597,118.191262862,100.0,0,0.0,0.0,0.0,0.0,0.0
28,33.8467029347,9.659,25.1926767363,100.0,0,0.0,0.0,0.0,0.0,0.0
29,8.25628939244,2.329,6.31503686866,100.0,0,0.0,0.0,0.0,0.0,0.0
30,0.0,-0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
